Year,Garnizon,Total,Age,Suicides,Result
1999,KWP Wrocław,378,0-6,1,Attempted
1999,KWP Bydgoszcz,263,0-6,0,Attempted
1999,KWP Lublin,283,0-6,2,Attempted
1999,KWP Gorzów Wielk.,194,0-6,1,Attempted
1999,KWP Łódź,410,0-6,2,Attempted
1999,KWP Kraków,302,0-6,1,Attempted
1999,KWP Radom,403,0-6,0,Attempted
1999,KWP Opole,189,0-6,0,Attempted
1999,KWP Rzeszów,205,0-6,1,Attempted
1999,KWP Białystok,216,0-6,0,Attempted
1999,KWP Gdańsk,325,0-6,0,Attempted
1999,KWP Katowice,543,0-6,0,Attempted
1999,KWP Kielce,199,0-6,0,Attempted
1999,KWP Olsztyn,201,0-6,0,Attempted
1999,KWP Poznań,644,0-6,2,Attempted
1999,KWP Szczecin,313,0-6,0,Attempted
1999,KSP Warszawa,114,0-6,0,Attempted
1999,Polska,5182,0-6,10,Attempted
2000,KWP Wrocław,431,0-6,1,Attempted
2000,KWP Bydgoszcz,262,0-6,0,Attempted
2000,KWP Lublin,288,0-6,0,Attempted
2000,KWP Gorzów Wielk.,178,0-6,0,Attempted
2000,KWP Łódź,402,0-6,0,Attempted
2000,KWP Kraków,545,0-6,0,Attempted
2000,KWP Radom,439,0-6,0,Attempted
2000,KWP Opole,176,0-6,1,Attempted
2000,KWP Rzeszów,348,0-6,1,Attempted
2000,KWP Białystok,242,0-6,0,Attempted
2000,KWP Gdańsk,337,0-6,0,Attempted
2000,KWP Katowice,574,0-6,1,Attempted
2000,KWP Kielce,197,0-6,0,Attempted
2000,KWP Olsztyn,149,0-6,0,Attempted
2000,KWP Poznań,644,0-6,1,Attempted
2000,KWP Szczecin,305,0-6,1,Attempted
2000,KSP Warszawa,104,0-6,0,Attempted
2000,Polska,5621,0-6,6,Attempted
2001,KWP Wrocław,372,0-6,0,Attempted
2001,KWP Bydgoszcz,268,0-6,0,Attempted
2001,KWP Lublin,313,0-6,1,Attempted
2001,KWP Gorzów Wielk.,246,0-6,1,Attempted
2001,KWP Łódź,380,0-6,0,Attempted
2001,KWP Kraków,591,0-6,0,Attempted
2001,KWP Radom,464,0-6,0,Attempted
2001,KWP Opole,152,0-6,0,Attempted
2001,KWP Rzeszów,316,0-6,1,Attempted
2001,KWP Białystok,221,0-6,0,Attempted
2001,KWP Gdańsk,364,0-6,0,Attempted
2001,KWP Katowice,558,0-6,0,Attempted
2001,KWP Kielce,192,0-6,1,Attempted
2001,KWP Olsztyn,240,0-6,0,Attempted
2001,KWP Poznań,641,0-6,2,Attempted
2001,KWP Szczecin,301,0-6,2,Attempted
2001,KSP Warszawa,93,0-6,2,Attempted
2001,Polska,5712,0-6,10,Attempted
2002,KWP Wrocław,372,0-6,0,Attempted
2002,KWP Bydgoszcz,233,0-6,0,Attempted
2002,KWP Lublin,329,0-6,1,Attempted
2002,KWP Gorzów Wielk.,243,0-6,0,Attempted
2002,KWP Łódź,385,0-6,1,Attempted
2002,KWP Kraków,640,0-6,0,Attempted
2002,KWP Radom,393,0-6,0,Attempted
2002,KWP Opole,157,0-6,0,Attempted
2002,KWP Rzeszów,370,0-6,0,Attempted
2002,KWP Białystok,242,0-6,0,Attempted
2002,KWP Gdańsk,391,0-6,0,Attempted
2002,KWP Katowice,643,0-6,0,Attempted
2002,KWP Kielce,206,0-6,0,Attempted
2002,KWP Olsztyn,267,0-6,0,Attempted
2002,KWP Poznań,617,0-6,0,Attempted
2002,KWP Szczecin,311,0-6,0,Attempted
2002,KSP Warszawa,129,0-6,0,Attempted
2002,Polska,5928,0-6,2,Attempted
2003,KWP Wrocław,420,0-6,0,Attempted
2003,KWP Bydgoszcz,199,0-6,0,Attempted
2003,KWP Lublin,399,0-6,0,Attempted
2003,KWP Gorzów Wielk.,180,0-6,0,Attempted
2003,KWP Łódź,335,0-6,0,Attempted
2003,KWP Kraków,481,0-6,0,Attempted
2003,KWP Radom,336,0-6,0,Attempted
2003,KWP Opole,159,0-6,0,Attempted
2003,KWP Rzeszów,258,0-6,0,Attempted
2003,KWP Białystok,259,0-6,0,Attempted
2003,KWP Gdańsk,321,0-6,0,Attempted
2003,KWP Katowice,667,0-6,0,Attempted
2003,KWP Kielce,185,0-6,0,Attempted
2003,KWP Olsztyn,235,0-6,0,Attempted
2003,KWP Poznań,511,0-6,0,Attempted
2003,KWP Szczecin,331,0-6,0,Attempted
2003,KSP Warszawa,191,0-6,0,Attempted
2003,Polska,5467,0-6,0,Attempted
2004,KWP Wrocław,450,0-6,0,Attempted
2004,KWP Bydgoszcz,361,0-6,0,Attempted
2004,KWP Lublin,415,0-6,0,Attempted
2004,KWP Gorzów Wielk.,211,0-6,0,Attempted
2004,KWP Łódź,382,0-6,0,Attempted
2004,KWP Kraków,510,0-6,0,Attempted
2004,KWP Radom,336,0-6,0,Attempted
2004,KWP Opole,182,0-6,0,Attempted
2004,KWP Rzeszów,261,0-6,0,Attempted
2004,KWP Białystok,229,0-6,0,Attempted
