Year,Sex,Suicides
2001,Male,4184
2002,Male,4215
2003,Male,3890
2004,Male,4104
2005,Male,3885
2006,Male,3444
2007,Male,2924
2008,Male,3333
2009,Male,3739
2010,Male,3517
2011,Male,3294
2012,Male,3569
2013,Male,5196
2014,Male,5237
2015,Male,4889
2016,Male,4638
2017,Male,4524
2018,Male,4471
2019,Male,4497
2020,Male,4386
2001,Female,787
2002,Female,885
2003,Female,744
2004,Female,789
2005,Female,736
2006,Female,646
2007,Female,606
2008,Female,631
2009,Female,645
2010,Female,570
2011,Female,545
2012,Female,608
2013,Female,904
2014,Female,928
2015,Female,799
2016,Female,767
2017,Female,751
2018,Female,711
2019,Female,756
2020,Female,778
