,Year,Garnizon,Suicides
0,2001,KSP Warszawa,93
1,2001,KWP Białystok,221
2,2001,KWP Bydgoszcz,268
3,2001,KWP Gdańsk,364
4,2001,KWP Gorzów Wielk.,246
5,2001,KWP Katowice,558
6,2001,KWP Kielce,192
7,2001,KWP Kraków,591
8,2001,KWP Łódź,380
9,2001,KWP Lublin,313
10,2001,KWP Olsztyn,240
11,2001,KWP Opole,152
12,2001,KWP Poznań,641
13,2001,KWP Radom,464
14,2001,KWP Rzeszów,316
15,2001,KWP Szczecin,301
16,2001,KWP Wrocław,372
17,2002,KSP Warszawa,129
18,2002,KWP Białystok,242
19,2002,KWP Bydgoszcz,233
20,2002,KWP Gdańsk,391
21,2002,KWP Gorzów Wielk.,243
22,2002,KWP Katowice,643
23,2002,KWP Kielce,206
24,2002,KWP Kraków,640
25,2002,KWP Łódź,385
26,2002,KWP Lublin,329
27,2002,KWP Olsztyn,267
28,2002,KWP Opole,157
29,2002,KWP Poznań,617
30,2002,KWP Radom,393
31,2002,KWP Rzeszów,370
32,2002,KWP Szczecin,311
33,2002,KWP Wrocław,372
34,2003,KSP Warszawa,191
35,2003,KWP Białystok,259
36,2003,KWP Bydgoszcz,199
37,2003,KWP Gdańsk,321
38,2003,KWP Gorzów Wielk.,180
39,2003,KWP Katowice,667
40,2003,KWP Kielce,185
41,2003,KWP Kraków,481
42,2003,KWP Łódź,335
43,2003,KWP Lublin,399
44,2003,KWP Olsztyn,235
45,2003,KWP Opole,159
46,2003,KWP Poznań,511
47,2003,KWP Radom,336
48,2003,KWP Rzeszów,258
49,2003,KWP Szczecin,331
50,2003,KWP Wrocław,420
51,2004,KSP Warszawa,292
52,2004,KWP Białystok,229
53,2004,KWP Bydgoszcz,361
54,2004,KWP Gdańsk,301
55,2004,KWP Gorzów Wielk.,211
56,2004,KWP Katowice,644
57,2004,KWP Kielce,237
58,2004,KWP Kraków,510
59,2004,KWP Łódź,382
60,2004,KWP Lublin,415
61,2004,KWP Olsztyn,282
62,2004,KWP Opole,182
63,2004,KWP Poznań,512
64,2004,KWP Radom,336
65,2004,KWP Rzeszów,261
66,2004,KWP Szczecin,288
67,2004,KWP Wrocław,450
68,2005,KSP Warszawa,264
69,2005,KWP Białystok,223
70,2005,KWP Bydgoszcz,327
71,2005,KWP Gdańsk,339
72,2005,KWP Gorzów Wielk.,191
73,2005,KWP Katowice,664
74,2005,KWP Kielce,174
75,2005,KWP Kraków,471
76,2005,KWP Łódź,378
77,2005,KWP Lublin,383
78,2005,KWP Olsztyn,308
79,2005,KWP Opole,163
80,2005,KWP Poznań,496
81,2005,KWP Radom,364
82,2005,KWP Rzeszów,270
83,2005,KWP Szczecin,272
84,2005,KWP Wrocław,338
85,2006,KSP Warszawa,192
86,2006,KWP Białystok,184
87,2006,KWP Bydgoszcz,251
88,2006,KWP Gdańsk,347
89,2006,KWP Gorzów Wielk.,223
90,2006,KWP Katowice,626
91,2006,KWP Kielce,187
92,2006,KWP Kraków,386
93,2006,KWP Łódź,389
94,2006,KWP Lublin,345
95,2006,KWP Olsztyn,295
96,2006,KWP Opole,181
97,2006,KWP Poznań,415
98,2006,KWP Radom,312
99,2006,KWP Rzeszów,265
100,2006,KWP Szczecin,234
101,2006,KWP Wrocław,320
102,2007,KSP Warszawa,176
103,2007,KWP Białystok,215
104,2007,KWP Bydgoszcz,251
105,2007,KWP Gdańsk,267
106,2007,KWP Gorzów Wielk.,190
107,2007,KWP Katowice,514
108,2007,KWP Kielce,139
109,2007,KWP Kraków,337
110,2007,KWP Łódź,390
111,2007,KWP Lublin,295
112,2007,KWP Olsztyn,306
113,2007,KWP Opole,148
114,2007,KWP Poznań,428
115,2007,KWP Radom,301
116,2007,KWP Rzeszów,198
117,2007,KWP Szczecin,221
118,2007,KWP Wrocław,282
119,2008,KSP Warszawa,214
120,2008,KWP Białystok,247
121,2008,KWP Bydgoszcz,323
122,2008,KWP Gdańsk,287
123,2008,KWP Gorzów Wielk.,201
124,2008,KWP Katowice,536
125,2008,KWP Kielce,135
126,2008,KWP Kraków,369
127,2008,KWP Łódź,379
128,2008,KWP Lublin,398
129,2008,KWP Olsztyn,361
130,2008,KWP Opole,157
131,2008,KWP Poznań,367
132,2008,KWP Radom,487
133,2008,KWP Rzeszów,239
134,2008,KWP Szczecin,226
135,2008,KWP Wrocław,311
136,2009,KSP Warszawa,254
137,2009,KWP Białystok,251
138,2009,KWP Bydgoszcz,333
139,2009,KWP Gdańsk,341
140,2009,KWP Gorzów Wielk.,285
141,2009,KWP Katowice,712
142,2009,KWP Kielce,155
143,2009,KWP Kraków,463
144,2009,KWP Łódź,471
145,2009,KWP Lublin,390
146,2009,KWP Olsztyn,395
147,2009,KWP Opole,185
148,2009,KWP Poznań,451
149,2009,KWP Radom,452
150,2009,KWP Rzeszów,242
151,2009,KWP Szczecin,238
152,2009,KWP Wrocław,295
153,2010,KSP Warszawa,235
154,2010,KWP Białystok,234
155,2010,KWP Bydgoszcz,291
156,2010,KWP Gdańsk,268
157,2010,KWP Gorzów Wielk.,183
158,2010,KWP Katowice,698
159,2010,KWP Kielce,208
160,2010,KWP Kraków,467
161,2010,KWP Łódź,440
162,2010,KWP Lublin,359
163,2010,KWP Olsztyn,373
164,2010,KWP Opole,186
165,2010,KWP Poznań,374
166,2010,KWP Radom,416
167,2010,KWP Rzeszów,252
168,2010,KWP Szczecin,206
169,2010,KWP Wrocław,266
170,2011,KSP Warszawa,203
171,2011,KWP Białystok,220
172,2011,KWP Bydgoszcz,330
173,2011,KWP Gdańsk,260
174,2011,KWP Gorzów Wielk.,214
175,2011,KWP Katowice,695
176,2011,KWP Kielce,172
177,2011,KWP Kraków,439
178,2011,KWP Łódź,436
179,2011,KWP Lublin,313
180,2011,KWP Olsztyn,336
181,2011,KWP Opole,141
182,2011,KWP Poznań,326
183,2011,KWP Radom,356
184,2011,KWP Rzeszów,197
185,2011,KWP Szczecin,245
186,2011,KWP Wrocław,241
187,2012,KSP Warszawa,385
188,2012,KWP Białystok,232
189,2012,KWP Bydgoszcz,348
190,2012,KWP Gdańsk,247
