Year,Garnizon,Suicides
2001,KSP Warszawa,0.00519362156257644
2002,KSP Warszawa,0.00720405571583183
2003,KSP Warszawa,0.0106664700908828
2004,KSP Warszawa,0.0163068547986271
2005,KSP Warszawa,0.0147431837905396
2006,KSP Warszawa,0.0107223154840288
2007,KSP Warszawa,0.00982878919369304
2008,KSP Warszawa,0.0119509141332404
2009,KSP Warszawa,0.0141847298590797
2010,KSP Warszawa,0.0131236673893061
2011,KSP Warszawa,0.0113366148086346
2012,KSP Warszawa,0.0215004763612035
2013,KSP Warszawa,0.0284811505044514
2014,KSP Warszawa,0.0301006669056849
2015,KSP Warszawa,0.0270291702826559
2016,KSP Warszawa,0.026526561744342
2017,KSP Warszawa,0.0257447262402983
2018,KSP Warszawa,0.0277551603935537
2019,KSP Warszawa,0.0288720682564733
2020,KSP Warszawa,0.0306032754439988
2001,KWP Katowice,0.184525640135319
2002,KWP Katowice,0.212634384600376
2003,KWP Katowice,0.220570971272863
2004,KWP Katowice,0.21296507571173
2005,KWP Katowice,0.219578897938802
2006,KWP Katowice,0.207012635707365
2007,KWP Katowice,0.16997523123576
2008,KWP Katowice,0.177250435685539
2009,KWP Katowice,0.235452071283776
2010,KWP Katowice,0.230822395724825
2011,KWP Katowice,0.229830322390764
2012,KWP Katowice,0.202382960148414
2013,KWP Katowice,0.379964086945307
2014,KWP Katowice,0.46528239367454
2015,KWP Katowice,0.499674269255317
2016,KWP Katowice,0.474872435903795
2017,KWP Katowice,0.551262082626481
2018,KWP Katowice,0.5575452137422
2019,KWP Katowice,0.535719600392861
2020,KWP Katowice,0.565151109303333
2001,KWP Kraków,0.0770853142693917
2002,KWP Kraków,0.0834764824575476
2003,KWP Kraków,0.0627377938470007
2004,KWP Kraków,0.0665203219583583
2005,KWP Kraków,0.0614334738086015
2006,KWP Kraków,0.0503467534822084
2007,KWP Kraków,0.0439555852940524
2008,KWP Kraków,0.0481294094169298
2009,KWP Kraków,0.0603900177778821
2010,KWP Kraków,0.0609117457932418
2011,KWP Kraków,0.0572596496857241
2012,KWP Kraków,0.0610421777970817
2013,KWP Kraków,0.0980848668876185
2014,KWP Kraków,0.130953731855278
2015,KWP Kraków,0.117127939448247
2016,KWP Kraków,0.134214531951276
2017,KWP Kraków,0.133431939928236
2018,KWP Kraków,0.134736259966635
2019,KWP Kraków,0.140214404127912
2020,KWP Kraków,0.149735940408226
2001,KWP Opole,0.128483639468145
2002,KWP Opole,0.132710074976966
2003,KWP Opole,0.134400649180494
2004,KWP Opole,0.153842252521069
2005,KWP Opole,0.137781797587551
2006,KWP Opole,0.152996965419305
2007,KWP Opole,0.125102491061089
2008,KWP Opole,0.132710074976966
2009,KWP Opole,0.156378113826361
2010,KWP Opole,0.157223400928125
2011,KWP Opole,0.11918548134874
2012,KWP Opole,0.125102491061089
2013,KWP Opole,0.184272588184577
2014,KWP Opole,0.192725459202218
2015,KWP Opole,0.198642468914567
2016,KWP Opole,0.206250052830444
2017,KWP Opole,0.197797181812803
2018,KWP Opole,0.177510291370464
2019,KWP Opole,0.181736726879285
2020,KWP Opole,0.163985697742238
2001,KWP Poznań,0.118623522989091
2002,KWP Poznań,0.114182080630685
2003,KWP Poznań,0.0945657102143921
2004,KWP Poznań,0.094750770312659
2005,KWP Poznań,0.0917898087403884
2006,KWP Poznań,0.0767999407807686
2007,KWP Poznań,0.0792057220582384
2008,KWP Poznań,0.0679170560639568
2009,KWP Poznań,0.0834621043183774
2010,KWP Poznań,0.0692124767518252
2011,KWP Poznań,0.0603295920350134
2012,KWP Poznań,0.0544076688904722
2013,KWP Poznań,0.0932702895265237
2014,KWP Poznań,0.111221119058414
2015,KWP Poznań,0.106224496405208
2016,KWP Poznań,0.101597993948535
2017,KWP Poznań,0.125470746624966
2018,KWP Poznań,0.13065242937644
2019,KWP Poznań,0.138239893405383
2020,KWP Poznań,0.138054833307116
2001,KWP Wrocław,0.0582470457630754
2002,KWP Wrocław,0.0582470457630754
2003,KWP Wrocław,0.0657627936034723
2004,KWP Wrocław,0.0704601360037203
2005,KWP Wrocław,0.0529233910427944
2006,KWP Wrocław,0.0501049856026455
2007,KWP Wrocław,0.0441550185623314
2008,KWP Wrocław,0.0486957828825711
2009,KWP Wrocław,0.0461905336024389
2010,KWP Wrocław,0.0416497692821991
2011,KWP Wrocław,0.0377353172819924
2012,KWP Wrocław,0.041023456962166
2013,KWP Wrocław,0.0881534590446545
2014,KWP Wrocław,0.106942828645647
2015,KWP Wrocław,0.0969218315251175
2016,KWP Wrocław,0.0951994726450265
2017,KWP Wrocław,0.122444058566465
2018,KWP Wrocław,0.134500570727102
2019,KWP Wrocław,0.171609575689061
2020,KWP Wrocław,0.154072830728135
