Year,Garnizon,Age,Suicides
1999,KWP Kraków,0-6,1
1999,KWP Opole,0-6,0
1999,KWP Katowice,0-6,0
1999,KWP Poznań,0-6,2
1999,KSP Warszawa,0-6,0
1999,Polska,0-6,9
2000,KWP Kraków,0-6,0
2000,KWP Opole,0-6,1
2000,KWP Katowice,0-6,1
2000,KWP Poznań,0-6,1
2000,KSP Warszawa,0-6,0
2000,Polska,0-6,6
2001,KWP Kraków,0-6,0
2001,KWP Opole,0-6,0
2001,KWP Katowice,0-6,0
2001,KWP Poznań,0-6,2
2001,KSP Warszawa,0-6,2
2001,Polska,0-6,9
2002,KWP Kraków,0-6,0
2002,KWP Opole,0-6,0
2002,KWP Katowice,0-6,0
2002,KWP Poznań,0-6,0
2002,KSP Warszawa,0-6,0
2002,Polska,0-6,1
2003,KWP Kraków,0-6,0
2003,KWP Opole,0-6,0
2003,KWP Katowice,0-6,0
2003,KWP Poznań,0-6,0
2003,KSP Warszawa,0-6,0
2003,Polska,0-6,0
2004,KWP Kraków,0-6,0
2004,KWP Opole,0-6,0
2004,KWP Katowice,0-6,0
2004,KWP Poznań,0-6,0
2004,KSP Warszawa,0-6,0
2004,Polska,0-6,0
2005,KWP Kraków,0-6,0
2005,KWP Opole,0-6,0
2005,KWP Katowice,0-6,0
2005,KWP Poznań,0-6,0
2005,KSP Warszawa,0-6,0
2005,Polska,0-6,1
2006,KWP Kraków,0-6,0
2006,KWP Opole,0-6,0
2006,KWP Katowice,0-6,0
2006,KWP Poznań,0-6,0
2006,KSP Warszawa,0-6,0
2006,Polska,0-6,1
2007,KWP Kraków,0-6,0
2007,KWP Opole,0-6,0
2007,KWP Katowice,0-6,0
2007,KWP Poznań,0-6,0
2007,KSP Warszawa,0-6,0
2007,Polska,0-6,0
2008,KWP Kraków,0-6,0
2008,KWP Opole,0-6,0
2008,KWP Katowice,0-6,0
2008,KWP Poznań,0-6,0
2008,KSP Warszawa,0-6,0
2008,Polska,0-6,0
2009,KWP Kraków,0-6,0
