year,sex,suicides in Poland,outcome
1999,Male,4292,Attempted
2000,Male,4520,Attempted
2001,Male,4677,Attempted
2002,Male,4776,Attempted
2003,Male,4428,Attempted
2004,Male,4799,Attempted
2005,Male,4596,Attempted
2006,Male,4174,Attempted
2007,Male,3730,Attempted
2008,Male,4207,Attempted
2009,Male,4839,Attempted
2010,Male,4480,Attempted
2011,Male,4195,Attempted
2012,Male,4703,Attempted
1999,Female,890,Attempted
2000,Female,1101,Attempted
2001,Female,1035,Attempted
2002,Female,1152,Attempted
2003,Female,1039,Attempted
2004,Female,1094,Attempted
2005,Female,1029,Attempted
2006,Female,978,Attempted
2007,Female,928,Attempted
2008,Female,1030,Attempted
2009,Female,1074,Attempted
2010,Female,976,Attempted
2011,Female,929,Attempted
2012,Female,1088,Attempted
2013,Male,6997,Attempted
2014,Male,8150,Attempted
2015,Male,7972,Attempted
2016,Male,7749,Attempted
2013,Female,1577,Attempted
2014,Female,2057,Attempted
2015,Female,2001,Attempted
2016,Female,2112,Attempted
2017,Male,8515,Attempted
2018,Male,8364,Attempted
2019,Male,8782,Attempted
2020,Male,8796,Attempted
2021,Male,9505,Attempted
2017,Female,2623,Attempted
2018,Female,2803,Attempted
2019,Female,3177,Attempted
2020,Female,3216,Attempted
2021,Female,4292,Attempted
1999,Male,3967,Fatal
2000,Male,4090,Fatal
2001,Male,4184,Fatal
2002,Male,4215,Fatal
2003,Male,3890,Fatal
2004,Male,4104,Fatal
2005,Male,3885,Fatal
2006,Male,3444,Fatal
2007,Male,2924,Fatal
2008,Male,3333,Fatal
2009,Male,3739,Fatal
2010,Male,3517,Fatal
2011,Male,3294,Fatal
2012,Male,3569,Fatal
1999,Female,728,Fatal
2000,Female,857,Fatal
2001,Female,787,Fatal
2002,Female,885,Fatal
2003,Female,744,Fatal
2004,Female,789,Fatal
2005,Female,736,Fatal
2006,Female,646,Fatal
2007,Female,606,Fatal
2008,Female,631,Fatal
2009,Female,645,Fatal
2010,Female,570,Fatal
2011,Female,545,Fatal
2012,Female,608,Fatal
2013,Male,5196,Fatal
2014,Male,5237,Fatal
2015,Male,4889,Fatal
2016,Male,4638,Fatal
2013,Female,904,Fatal
2014,Female,928,Fatal
2015,Female,799,Fatal
2016,Female,767,Fatal
2017,Male,4524,Fatal
2018,Male,4471,Fatal
2019,Male,4497,Fatal
2020,Male,4386,Fatal
2021,Male,4413,Fatal
2017,Female,751,Fatal
2018,Female,711,Fatal
2019,Female,756,Fatal
2020,Female,778,Fatal
2021,Female,787,Fatal
