year,garnizon,age,suicides,outcome
1999,KWP Wrocław,0-6,1,Attempted
1999,KWP Bydgoszcz,0-6,0,Attempted
1999,KWP Lublin,0-6,2,Attempted
1999,KWP Gorzów Wlkp.,0-6,1,Attempted
1999,KWP Łódź,0-6,2,Attempted
1999,KWP Kraków,0-6,1,Attempted
1999,KWP Radom,0-6,0,Attempted
1999,KWP Opole,0-6,0,Attempted
1999,KWP Rzeszów,0-6,1,Attempted
1999,KWP Białystok,0-6,0,Attempted
1999,KWP Gdańsk,0-6,0,Attempted
1999,KWP Katowice,0-6,0,Attempted
1999,KWP Kielce,0-6,0,Attempted
1999,KWP Olsztyn,0-6,0,Attempted
1999,KWP Poznań,0-6,2,Attempted
1999,KWP Szczecin,0-6,0,Attempted
1999,KSP Warszawa,0-6,0,Attempted
2000,KWP Wrocław,0-6,1,Attempted
2000,KWP Bydgoszcz,0-6,0,Attempted
2000,KWP Lublin,0-6,0,Attempted
2000,KWP Gorzów Wlkp.,0-6,0,Attempted
2000,KWP Łódź,0-6,0,Attempted
2000,KWP Kraków,0-6,0,Attempted
2000,KWP Radom,0-6,0,Attempted
2000,KWP Opole,0-6,1,Attempted
2000,KWP Rzeszów,0-6,1,Attempted
2000,KWP Białystok,0-6,0,Attempted
2000,KWP Gdańsk,0-6,0,Attempted
2000,KWP Katowice,0-6,1,Attempted
2000,KWP Kielce,0-6,0,Attempted
2000,KWP Olsztyn,0-6,0,Attempted
2000,KWP Poznań,0-6,1,Attempted
2000,KWP Szczecin,0-6,1,Attempted
2000,KSP Warszawa,0-6,0,Attempted
2001,KWP Wrocław,0-6,0,Attempted
2001,KWP Bydgoszcz,0-6,0,Attempted
2001,KWP Lublin,0-6,1,Attempted
2001,KWP Gorzów Wlkp.,0-6,1,Attempted
2001,KWP Łódź,0-6,0,Attempted
2001,KWP Kraków,0-6,0,Attempted
2001,KWP Radom,0-6,0,Attempted
2001,KWP Opole,0-6,0,Attempted
2001,KWP Rzeszów,0-6,1,Attempted
2001,KWP Białystok,0-6,0,Attempted
2001,KWP Gdańsk,0-6,0,Attempted
2001,KWP Katowice,0-6,0,Attempted
2001,KWP Kielce,0-6,1,Attempted
2001,KWP Olsztyn,0-6,0,Attempted
2001,KWP Poznań,0-6,2,Attempted
2001,KWP Szczecin,0-6,2,Attempted
2001,KSP Warszawa,0-6,2,Attempted
2002,KWP Wrocław,0-6,0,Attempted
2002,KWP Bydgoszcz,0-6,0,Attempted
2002,KWP Lublin,0-6,1,Attempted
2002,KWP Gorzów Wlkp.,0-6,0,Attempted
2002,KWP Łódź,0-6,1,Attempted
2002,KWP Kraków,0-6,0,Attempted
2002,KWP Radom,0-6,0,Attempted
2002,KWP Opole,0-6,0,Attempted
2002,KWP Rzeszów,0-6,0,Attempted
2002,KWP Białystok,0-6,0,Attempted
2002,KWP Gdańsk,0-6,0,Attempted
2002,KWP Katowice,0-6,0,Attempted
2002,KWP Kielce,0-6,0,Attempted
2002,KWP Olsztyn,0-6,0,Attempted
2002,KWP Poznań,0-6,0,Attempted
2002,KWP Szczecin,0-6,0,Attempted
2002,KSP Warszawa,0-6,0,Attempted
2003,KWP Wrocław,0-6,0,Attempted
2003,KWP Bydgoszcz,0-6,0,Attempted
2003,KWP Lublin,0-6,0,Attempted
2003,KWP Gorzów Wlkp.,0-6,0,Attempted
2003,KWP Łódź,0-6,0,Attempted
2003,KWP Kraków,0-6,0,Attempted
2003,KWP Radom,0-6,0,Attempted
2003,KWP Opole,0-6,0,Attempted
2003,KWP Rzeszów,0-6,0,Attempted
2003,KWP Białystok,0-6,0,Attempted
2003,KWP Gdańsk,0-6,0,Attempted
2003,KWP Katowice,0-6,0,Attempted
2003,KWP Kielce,0-6,0,Attempted
2003,KWP Olsztyn,0-6,0,Attempted
2003,KWP Poznań,0-6,0,Attempted
2003,KWP Szczecin,0-6,0,Attempted
2003,KSP Warszawa,0-6,0,Attempted
2004,KWP Wrocław,0-6,0,Attempted
2004,KWP Bydgoszcz,0-6,0,Attempted
2004,KWP Lublin,0-6,0,Attempted
2004,KWP Gorzów Wlkp.,0-6,0,Attempted
2004,KWP Łódź,0-6,0,Attempted
2004,KWP Kraków,0-6,0,Attempted
2004,KWP Radom,0-6,0,Attempted
2004,KWP Opole,0-6,0,Attempted
2004,KWP Rzeszów,0-6,0,Attempted
2004,KWP Białystok,0-6,0,Attempted
2004,KWP Gdańsk,0-6,0,Attempted
2004,KWP Katowice,0-6,0,Attempted
2004,KWP Kielce,0-6,0,Attempted
2004,KWP Olsztyn,0-6,0,Attempted
2004,KWP Poznań,0-6,0,Attempted
2004,KWP Szczecin,0-6,0,Attempted
2004,KSP Warszawa,0-6,0,Attempted
2005,KWP Wrocław,0-6,0,Attempted
2005,KWP Bydgoszcz,0-6,0,Attempted
2005,KWP Lublin,0-6,1,Attempted
2005,KWP Gorzów Wlkp.,0-6,0,Attempted
2005,KWP Łódź,0-6,0,Attempted
2005,KWP Kraków,0-6,0,Attempted
2005,KWP Radom,0-6,0,Attempted
2005,KWP Opole,0-6,0,Attempted
2005,KWP Rzeszów,0-6,0,Attempted
2005,KWP Białystok,0-6,0,Attempted
2005,KWP Gdańsk,0-6,0,Attempted
2005,KWP Katowice,0-6,0,Attempted
2005,KWP Kielce,0-6,0,Attempted
2005,KWP Olsztyn,0-6,0,Attempted
2005,KWP Poznań,0-6,0,Attempted
