year,garnizon,outcome,total,percentage
1999,KSP Warszawa,Attempted,114,6.366374818642086e-5
1999,KSP Warszawa,Fatal,101,5.640384707744304e-5
1999,KWP Białystok,Attempted,216,7.361787551080921e-4
1999,KWP Białystok,Fatal,190,6.47564645696933e-4
1999,KWP Bydgoszcz,Attempted,263,7.429252611537658e-4
1999,KWP Bydgoszcz,Fatal,248,7.005530979700909e-4
1999,KWP Gdańsk,Attempted,325,5.582226191805292e-4
1999,KWP Gdańsk,Fatal,300,5.152824177051038e-4
1999,KWP Gorzów Wlkp.,Attempted,194,0.0015883282435873293
1999,KWP Gorzów Wlkp.,Fatal,179,0.001465519358773876
1999,KWP Katowice,Attempted,543,0.0017956527346501454
1999,KWP Katowice,Fatal,488,0.0016137726234056555
1999,KWP Kielce,Attempted,199,0.001015606659113411
1999,KWP Kielce,Fatal,190,9.696746996560206e-4
1999,KWP Kraków,Attempted,302,3.9390465159655296e-4
1999,KWP Kraków,Fatal,282,3.678182508285693e-4
1999,KWP Łódź,Attempted,410,5.884818316999374e-4
1999,KWP Łódź,Fatal,392,5.626460439667694e-4
1999,KWP Lublin,Attempted,283,8.27391028508445e-4
1999,KWP Lublin,Fatal,261,7.630708778823467e-4
1999,KWP Olsztyn,Attempted,201,0.0011570476289158292
1999,KWP Olsztyn,Fatal,179,0.0010304055998802658
1999,KWP Opole,Attempted,189,0.0015975926223341758
1999,KWP Opole,Fatal,155,0.001310195007734377
1999,KWP Poznań,Attempted,644,0.0011917870328389145
1999,KWP Poznań,Fatal,572,0.0010585437620867376
1999,KWP Radom,Attempted,403,0.0018856888847296634
1999,KWP Radom,Fatal,394,0.0018435767260136162
1999,KWP Rzeszów,Attempted,205,0.001114730208101098
1999,KWP Rzeszów,Fatal,189,0.0010277268747858903
1999,KWP Szczecin,Attempted,313,7.738694212791839e-4
1999,KWP Szczecin,Fatal,236,5.834925987919725e-4
1999,KWP Wrocław,Attempted,378,5.918651424312505e-4
1999,KWP Wrocław,Fatal,339,5.307996912280262e-4
2000,KSP Warszawa,Attempted,104,5.807920887182254e-5
2000,KSP Warszawa,Fatal,95,5.305312348868405e-5
2000,KWP Białystok,Attempted,242,8.247928645192514e-4
2000,KWP Białystok,Fatal,205,6.986881703572171e-4
2000,KWP Bydgoszcz,Attempted,262,7.401004502748541e-4
2000,KWP Bydgoszcz,Fatal,240,6.779546109387976e-4
2000,KWP Gdańsk,Attempted,337,5.788339158887333e-4
2000,KWP Gdańsk,Fatal,300,5.152824177051038e-4
2000,KWP Gorzów Wlkp.,Attempted,178,0.0014573320997863124
2000,KWP Gorzów Wlkp.,Fatal,156,0.0012772124020599145
2000,KWP Katowice,Attempted,574,0.001898166979169767
2000,KWP Katowice,Fatal,491,0.001623693356746264
2000,KWP Kielce,Attempted,197,0.0010053995570117689
2000,KWP Kielce,Fatal,184,9.390533933510937e-4
2000,KWP Kraków,Attempted,545,7.108544209275541e-4
2000,KWP Kraków,Fatal,474,6.182476982012123e-4
2000,KWP Łódź,Attempted,402,5.76999259374085e-4
2000,KWP Łódź,Fatal,366,5.25327683907749e-4
2000,KWP Lublin,Attempted,288,8.420092445598309e-4
2000,KWP Lublin,Fatal,259,7.572235914617924e-4
2000,KWP Olsztyn,Attempted,149,8.577119239226793e-4
2000,KWP Olsztyn,Fatal,137,7.886344535396447e-4
2000,KWP Opole,Attempted,176,0.001487705299104841
2000,KWP Opole,Fatal,154,0.0013017421367167359
2000,KWP Poznań,Attempted,644,0.0011917870328389145
2000,KWP Poznań,Fatal,551,0.0010196811414506862
2000,KWP Radom,Attempted,439,0.0020541375195938516
2000,KWP Radom,Fatal,408,0.0019090845284608006
2000,KWP Rzeszów,Attempted,348,0.0018923224996057661
2000,KWP Rzeszów,Fatal,314,0.0017074404163109499
2000,KWP Szczecin,Attempted,305,7.540900111506425e-4
2000,KWP Szczecin,Fatal,219,5.41461352268822e-4
2000,KWP Wrocław,Attempted,431,6.748515248356322e-4
2000,KWP Wrocław,Fatal,394,6.169176352325733e-4
2001,KSP Warszawa,Attempted,93,5.193621562576438e-5
2001,KSP Warszawa,Fatal,81,4.52347684482464e-5
2001,KWP Białystok,Attempted,221,7.532199299948535e-4
2001,KWP Białystok,Fatal,187,6.37339940764876e-4
2001,KWP Bydgoszcz,Attempted,268,7.57049315548324e-4
2001,KWP Bydgoszcz,Fatal,245,6.92078665333356e-4
2001,KWP Gdańsk,Attempted,364,6.252093334821926e-4
2001,KWP Gdańsk,Fatal,325,5.582226191805292e-4
2001,KWP Gorzów Wlkp.,Attempted,246,0.0020140657109406343
2001,KWP Gorzów Wlkp.,Fatal,210,0.0017193243873883462
2001,KWP Katowice,Attempted,558,0.001845256401353188
