year,outcome,suicides
1999,Attempted,5182
1999,Fatal,4695
2000,Attempted,5621
2000,Fatal,4947
2001,Attempted,5712
2001,Fatal,4971
2002,Attempted,5928
2002,Fatal,5100
2003,Attempted,5467
2003,Fatal,4634
2004,Attempted,5893
2004,Fatal,4893
2005,Attempted,5625
2005,Fatal,4621
2006,Attempted,5152
2006,Fatal,4090
2007,Attempted,4658
2007,Fatal,3530
2008,Attempted,5237
2008,Fatal,3964
2009,Attempted,5913
2009,Fatal,4384
2010,Attempted,5456
2010,Fatal,4087
2011,Attempted,5124
2011,Fatal,3839
2012,Attempted,5791
2012,Fatal,4177
2013,Attempted,8574
2013,Fatal,6100
2014,Attempted,10207
2014,Fatal,6165
2015,Attempted,9973
2015,Fatal,5688
2016,Attempted,9861
2016,Fatal,5405
2017,Attempted,11138
2017,Fatal,5275
2018,Attempted,11167
2018,Fatal,5182
2019,Attempted,11959
2019,Fatal,5253
2020,Attempted,12012
2020,Fatal,5164
2021,Attempted,13797
2021,Fatal,5200
