year,garnizon,sex,suicides,outcome
1999,KWP Wrocław,Male,317,Attempted
1999,KWP Bydgoszcz,Male,227,Attempted
1999,KWP Lublin,Male,231,Attempted
1999,KWP Gorzów Wlkp.,Male,156,Attempted
1999,KWP Łódź,Male,348,Attempted
1999,KWP Kraków,Male,255,Attempted
1999,KWP Radom,Male,358,Attempted
1999,KWP Opole,Male,160,Attempted
1999,KWP Rzeszów,Male,170,Attempted
1999,KWP Białystok,Male,172,Attempted
1999,KWP Gdańsk,Male,270,Attempted
1999,KWP Katowice,Male,457,Attempted
1999,KWP Kielce,Male,171,Attempted
1999,KWP Olsztyn,Male,169,Attempted
1999,KWP Poznań,Male,507,Attempted
1999,KWP Szczecin,Male,238,Attempted
1999,KSP Warszawa,Male,86,Attempted
2000,KWP Wrocław,Male,331,Attempted
2000,KWP Bydgoszcz,Male,220,Attempted
2000,KWP Lublin,Male,238,Attempted
2000,KWP Gorzów Wlkp.,Male,150,Attempted
2000,KWP Łódź,Male,333,Attempted
2000,KWP Kraków,Male,437,Attempted
2000,KWP Radom,Male,378,Attempted
2000,KWP Opole,Male,149,Attempted
2000,KWP Rzeszów,Male,281,Attempted
2000,KWP Białystok,Male,202,Attempted
2000,KWP Gdańsk,Male,274,Attempted
2000,KWP Katowice,Male,450,Attempted
2000,KWP Kielce,Male,166,Attempted
2000,KWP Olsztyn,Male,124,Attempted
2000,KWP Poznań,Male,486,Attempted
2000,KWP Szczecin,Male,224,Attempted
2000,KSP Warszawa,Male,77,Attempted
2001,KWP Wrocław,Male,302,Attempted
2001,KWP Bydgoszcz,Male,225,Attempted
2001,KWP Lublin,Male,267,Attempted
2001,KWP Gorzów Wlkp.,Male,184,Attempted
2001,KWP Łódź,Male,320,Attempted
2001,KWP Kraków,Male,484,Attempted
2001,KWP Radom,Male,406,Attempted
2001,KWP Opole,Male,130,Attempted
2001,KWP Rzeszów,Male,248,Attempted
2001,KWP Białystok,Male,185,Attempted
2001,KWP Gdańsk,Male,313,Attempted
2001,KWP Katowice,Male,453,Attempted
2001,KWP Kielce,Male,166,Attempted
2001,KWP Olsztyn,Male,206,Attempted
2001,KWP Poznań,Male,509,Attempted
2001,KWP Szczecin,Male,211,Attempted
2001,KSP Warszawa,Male,68,Attempted
2002,KWP Wrocław,Male,298,Attempted
2002,KWP Bydgoszcz,Male,185,Attempted
2002,KWP Lublin,Male,288,Attempted
2002,KWP Gorzów Wlkp.,Male,200,Attempted
2002,KWP Łódź,Male,323,Attempted
2002,KWP Kraków,Male,504,Attempted
2002,KWP Radom,Male,320,Attempted
2002,KWP Opole,Male,131,Attempted
2002,KWP Rzeszów,Male,296,Attempted
2002,KWP Białystok,Male,204,Attempted
2002,KWP Gdańsk,Male,327,Attempted
2002,KWP Katowice,Male,511,Attempted
2002,KWP Kielce,Male,170,Attempted
2002,KWP Olsztyn,Male,212,Attempted
2002,KWP Poznań,Male,472,Attempted
2002,KWP Szczecin,Male,235,Attempted
2002,KSP Warszawa,Male,100,Attempted
2003,KWP Wrocław,Male,336,Attempted
2003,KWP Bydgoszcz,Male,160,Attempted
2003,KWP Lublin,Male,344,Attempted
2003,KWP Gorzów Wlkp.,Male,129,Attempted
2003,KWP Łódź,Male,279,Attempted
2003,KWP Kraków,Male,385,Attempted
2003,KWP Radom,Male,290,Attempted
2003,KWP Opole,Male,132,Attempted
2003,KWP Rzeszów,Male,198,Attempted
2003,KWP Białystok,Male,214,Attempted
2003,KWP Gdańsk,Male,270,Attempted
2003,KWP Katowice,Male,525,Attempted
2003,KWP Kielce,Male,162,Attempted
2003,KWP Olsztyn,Male,212,Attempted
2003,KWP Poznań,Male,396,Attempted
2003,KWP Szczecin,Male,247,Attempted
2003,KSP Warszawa,Male,149,Attempted
2004,KWP Wrocław,Male,356,Attempted
2004,KWP Bydgoszcz,Male,290,Attempted
2004,KWP Lublin,Male,373,Attempted
2004,KWP Gorzów Wlkp.,Male,174,Attempted
2004,KWP Łódź,Male,317,Attempted
2004,KWP Kraków,Male,419,Attempted
2004,KWP Radom,Male,288,Attempted
2004,KWP Opole,Male,147,Attempted
2004,KWP Rzeszów,Male,212,Attempted
2004,KWP Białystok,Male,195,Attempted
2004,KWP Gdańsk,Male,240,Attempted
2004,KWP Katowice,Male,509,Attempted
2004,KWP Kielce,Male,200,Attempted
2004,KWP Olsztyn,Male,242,Attempted
2004,KWP Poznań,Male,400,Attempted
2004,KWP Szczecin,Male,215,Attempted
2004,KSP Warszawa,Male,222,Attempted
2005,KWP Wrocław,Male,268,Attempted
2005,KWP Bydgoszcz,Male,267,Attempted
2005,KWP Lublin,Male,315,Attempted
2005,KWP Gorzów Wlkp.,Male,152,Attempted
2005,KWP Łódź,Male,305,Attempted
2005,KWP Kraków,Male,395,Attempted
2005,KWP Radom,Male,324,Attempted
2005,KWP Opole,Male,123,Attempted
2005,KWP Rzeszów,Male,227,Attempted
2005,KWP Białystok,Male,181,Attempted
2005,KWP Gdańsk,Male,279,Attempted
2005,KWP Katowice,Male,549,Attempted
2005,KWP Kielce,Male,153,Attempted
2005,KWP Olsztyn,Male,256,Attempted
2005,KWP Poznań,Male,381,Attempted
2005,KWP Szczecin,Male,222,Attempted
2005,KSP Warszawa,Male,199,Attempted
2006,KWP Wrocław,Male,253,Attempted
2006,KWP Bydgoszcz,Male,218,Attempted
2006,KWP Lublin,Male,293,Attempted
2006,KWP Gorzów Wlkp.,Male,179,Attempted
2006,KWP Łódź,Male,320,Attempted
2006,KWP Kraków,Male,306,Attempted
2006,KWP Radom,Male,271,Attempted
2006,KWP Opole,Male,135,Attempted
2006,KWP Rzeszów,Male,228,Attempted
2006,KWP Białystok,Male,151,Attempted
2006,KWP Gdańsk,Male,274,Attempted
2006,KWP Katowice,Male,508,Attempted
2006,KWP Kielce,Male,157,Attempted
2006,KWP Olsztyn,Male,224,Attempted
2006,KWP Poznań,Male,330,Attempted
2006,KWP Szczecin,Male,183,Attempted
2006,KSP Warszawa,Male,144,Attempted
2007,KWP Wrocław,Male,229,Attempted
2007,KWP Bydgoszcz,Male,197,Attempted
2007,KWP Lublin,Male,247,Attempted
2007,KWP Gorzów Wlkp.,Male,152,Attempted
2007,KWP Łódź,Male,298,Attempted
2007,KWP Kraków,Male,269,Attempted
2007,KWP Radom,Male,257,Attempted
2007,KWP Opole,Male,123,Attempted
2007,KWP Rzeszów,Male,160,Attempted
2007,KWP Białystok,Male,185,Attempted
2007,KWP Gdańsk,Male,225,Attempted
2007,KWP Katowice,Male,409,Attempted
2007,KWP Kielce,Male,119,Attempted
2007,KWP Olsztyn,Male,229,Attempted
2007,KWP Poznań,Male,321,Attempted
2007,KWP Szczecin,Male,163,Attempted
2007,KSP Warszawa,Male,147,Attempted
2008,KWP Wrocław,Male,257,Attempted
2008,KWP Bydgoszcz,Male,262,Attempted
