year,garnizon,sex,suicides,outcome
1999,Wrocław,Male,317,Attempted
1999,Bydgoszcz,Male,227,Attempted
1999,Lublin,Male,231,Attempted
1999,Gorzów Wlkp.,Male,156,Attempted
1999,Łódź,Male,348,Attempted
1999,Kraków,Male,255,Attempted
1999,Radom,Male,358,Attempted
1999,Opole,Male,160,Attempted
1999,Rzeszów,Male,170,Attempted
1999,Białystok,Male,172,Attempted
1999,Gdańsk,Male,270,Attempted
1999,Katowice,Male,457,Attempted
1999,Kielce,Male,171,Attempted
1999,Olsztyn,Male,169,Attempted
1999,Poznań,Male,507,Attempted
1999,Szczecin,Male,238,Attempted
1999,Warszawa,Male,86,Attempted
2000,Wrocław,Male,331,Attempted
2000,Bydgoszcz,Male,220,Attempted
2000,Lublin,Male,238,Attempted
2000,Gorzów Wlkp.,Male,150,Attempted
2000,Łódź,Male,333,Attempted
2000,Kraków,Male,437,Attempted
2000,Radom,Male,378,Attempted
2000,Opole,Male,149,Attempted
2000,Rzeszów,Male,281,Attempted
2000,Białystok,Male,202,Attempted
2000,Gdańsk,Male,274,Attempted
2000,Katowice,Male,450,Attempted
2000,Kielce,Male,166,Attempted
2000,Olsztyn,Male,124,Attempted
2000,Poznań,Male,486,Attempted
2000,Szczecin,Male,224,Attempted
2000,Warszawa,Male,77,Attempted
2001,Wrocław,Male,302,Attempted
2001,Bydgoszcz,Male,225,Attempted
2001,Lublin,Male,267,Attempted
2001,Gorzów Wlkp.,Male,184,Attempted
2001,Łódź,Male,320,Attempted
2001,Kraków,Male,484,Attempted
2001,Radom,Male,406,Attempted
2001,Opole,Male,130,Attempted
2001,Rzeszów,Male,248,Attempted
2001,Białystok,Male,185,Attempted
2001,Gdańsk,Male,313,Attempted
2001,Katowice,Male,453,Attempted
2001,Kielce,Male,166,Attempted
2001,Olsztyn,Male,206,Attempted
2001,Poznań,Male,509,Attempted
2001,Szczecin,Male,211,Attempted
2001,Warszawa,Male,68,Attempted
