Year,Garnizon,Total,Age,Suicides by age,Result,Sex,Suicides by sex,Population,Percentage
1999,KWP Wrocław,378,0-6,1,Attempted,Male,317,638659,5.918651424312505e-4
1999,KWP Bydgoszcz,263,0-6,0,Attempted,Male,227,354006,7.429252611537658e-4
1999,KWP Lublin,283,0-6,2,Attempted,Male,231,342039,8.27391028508445e-4
1999,KWP Gorzów Wlkp.,194,0-6,1,Attempted,Male,156,122141,0.0015883282435873293
1999,KWP Łódź,410,0-6,2,Attempted,Male,348,696708,5.884818316999374e-4
1999,KWP Kraków,302,0-6,1,Attempted,Male,255,766683,3.9390465159655296e-4
1999,KWP Radom,403,0-6,0,Attempted,Male,358,213715,0.0018856888847296634
1999,KWP Opole,189,0-6,0,Attempted,Male,160,118303,0.0015975926223341758
1999,KWP Rzeszów,205,0-6,1,Attempted,Male,170,183901,0.001114730208101098
1999,KWP Białystok,216,0-6,0,Attempted,Male,172,293407,7.361787551080921e-4
1999,KWP Gdańsk,325,0-6,0,Attempted,Male,270,582205,5.582226191805292e-4
1999,KWP Katowice,543,0-6,0,Attempted,Male,457,302397,0.0017956527346501454
1999,KWP Kielce,199,0-6,0,Attempted,Male,171,195942,0.001015606659113411
1999,KWP Olsztyn,201,0-6,0,Attempted,Male,169,173718,0.0011570476289158292
1999,KWP Poznań,644,0-6,2,Attempted,Male,507,540365,0.0011917870328389145
1999,KWP Szczecin,313,0-6,0,Attempted,Male,238,404461,7.738694212791839e-4
1999,KSP Warszawa,114,0-6,0,Attempted,Male,86,1790658,6.366374818642086e-5
1999,Polska,5182,0-6,10,Attempted,Male,4292,NA,NA
2000,KWP Wrocław,431,0-6,1,Attempted,Male,331,638659,6.748515248356322e-4
2000,KWP Bydgoszcz,262,0-6,0,Attempted,Male,220,354006,7.401004502748541e-4
2000,KWP Lublin,288,0-6,0,Attempted,Male,238,342039,8.420092445598309e-4
2000,KWP Gorzów Wlkp.,178,0-6,0,Attempted,Male,150,122141,0.0014573320997863124
2000,KWP Łódź,402,0-6,0,Attempted,Male,333,696708,5.76999259374085e-4
2000,KWP Kraków,545,0-6,0,Attempted,Male,437,766683,7.108544209275541e-4
2000,KWP Radom,439,0-6,0,Attempted,Male,378,213715,0.0020541375195938516
2000,KWP Opole,176,0-6,1,Attempted,Male,149,118303,0.001487705299104841
2000,KWP Rzeszów,348,0-6,1,Attempted,Male,281,183901,0.0018923224996057661
2000,KWP Białystok,242,0-6,0,Attempted,Male,202,293407,8.247928645192514e-4
2000,KWP Gdańsk,337,0-6,0,Attempted,Male,274,582205,5.788339158887333e-4
2000,KWP Katowice,574,0-6,1,Attempted,Male,450,302397,0.001898166979169767
2000,KWP Kielce,197,0-6,0,Attempted,Male,166,195942,0.0010053995570117689
2000,KWP Olsztyn,149,0-6,0,Attempted,Male,124,173718,8.577119239226793e-4
2000,KWP Poznań,644,0-6,1,Attempted,Male,486,540365,0.0011917870328389145
2000,KWP Szczecin,305,0-6,1,Attempted,Male,224,404461,7.540900111506425e-4
2000,KSP Warszawa,104,0-6,0,Attempted,Male,77,1790658,5.807920887182254e-5
