Year,Sex,Suicides
2001,Male,4677
2002,Male,4776
2003,Male,4428
2004,Male,4799
2005,Male,4596
2006,Male,4174
2007,Male,3730
2008,Male,4207
2009,Male,4839
2010,Male,4480
2011,Male,4195
2012,Male,4703
2013,Male,6997
2014,Male,8150
2015,Male,7972
2016,Male,7749
2017,Male,8515
2018,Male,8364
2019,Male,8782
2020,Male,8796
2001,Female,1035
2002,Female,1152
2003,Female,1039
2004,Female,1094
2005,Female,1029
2006,Female,978
2007,Female,928
2008,Female,1030
2009,Female,1074
2010,Female,976
2011,Female,929
2012,Female,1088
2013,Female,1577
2014,Female,2057
2015,Female,2001
2016,Female,2112
2017,Female,2623
2018,Female,2803
2019,Female,3177
2020,Female,3216
