,Year,Garnizon,Suicides
0,2001,KSP Warszawa,81
1,2001,KWP Białystok,187
2,2001,KWP Bydgoszcz,245
3,2001,KWP Gdańsk,325
4,2001,KWP Gorzów Wielk.,210
5,2001,KWP Katowice,473
6,2001,KWP Kielce,179
7,2001,KWP Kraków,508
8,2001,KWP Łódź,342
9,2001,KWP Lublin,271
10,2001,KWP Olsztyn,206
11,2001,KWP Opole,134
12,2001,KWP Poznań,551
13,2001,KWP Radom,426
14,2001,KWP Rzeszów,293
15,2001,KWP Szczecin,208
16,2001,KWP Wrocław,332
17,2002,KSP Warszawa,116
18,2002,KWP Białystok,198
19,2002,KWP Bydgoszcz,216
20,2002,KWP Gdańsk,360
21,2002,KWP Gorzów Wielk.,194
22,2002,KWP Katowice,544
23,2002,KWP Kielce,190
24,2002,KWP Kraków,542
25,2002,KWP Łódź,338
26,2002,KWP Lublin,288
27,2002,KWP Olsztyn,228
28,2002,KWP Opole,134
29,2002,KWP Poznań,506
30,2002,KWP Radom,369
31,2002,KWP Rzeszów,320
32,2002,KWP Szczecin,210
33,2002,KWP Wrocław,347
34,2003,KSP Warszawa,167
35,2003,KWP Białystok,217
36,2003,KWP Bydgoszcz,183
37,2003,KWP Gdańsk,296
38,2003,KWP Gorzów Wielk.,143
39,2003,KWP Katowice,522
40,2003,KWP Kielce,169
41,2003,KWP Kraków,416
42,2003,KWP Łódź,300
43,2003,KWP Lublin,355
44,2003,KWP Olsztyn,199
45,2003,KWP Opole,128
46,2003,KWP Poznań,406
47,2003,KWP Radom,310
48,2003,KWP Rzeszów,229
49,2003,KWP Szczecin,219
50,2003,KWP Wrocław,375
51,2004,KSP Warszawa,241
52,2004,KWP Białystok,180
53,2004,KWP Bydgoszcz,325
54,2004,KWP Gdańsk,261
55,2004,KWP Gorzów Wielk.,155
56,2004,KWP Katowice,486
57,2004,KWP Kielce,215
58,2004,KWP Kraków,441
59,2004,KWP Łódź,338
60,2004,KWP Lublin,342
61,2004,KWP Olsztyn,219
62,2004,KWP Opole,148
63,2004,KWP Poznań,424
64,2004,KWP Radom,312
65,2004,KWP Rzeszów,212
66,2004,KWP Szczecin,197
67,2004,KWP Wrocław,397
68,2005,KSP Warszawa,225
69,2005,KWP Białystok,181
70,2005,KWP Bydgoszcz,277
71,2005,KWP Gdańsk,290
72,2005,KWP Gorzów Wielk.,142
73,2005,KWP Katowice,505
74,2005,KWP Kielce,157
75,2005,KWP Kraków,411
76,2005,KWP Łódź,313
77,2005,KWP Lublin,309
78,2005,KWP Olsztyn,205
79,2005,KWP Opole,111
80,2005,KWP Poznań,416
81,2005,KWP Radom,341
82,2005,KWP Rzeszów,223
83,2005,KWP Szczecin,209
84,2005,KWP Wrocław,306
85,2006,KSP Warszawa,168
86,2006,KWP Białystok,129
87,2006,KWP Bydgoszcz,225
88,2006,KWP Gdańsk,292
89,2006,KWP Gorzów Wielk.,160
90,2006,KWP Katowice,448
91,2006,KWP Kielce,173
92,2006,KWP Kraków,317
93,2006,KWP Łódź,314
94,2006,KWP Lublin,276
95,2006,KWP Olsztyn,186
96,2006,KWP Opole,107
97,2006,KWP Poznań,348
98,2006,KWP Radom,277
99,2006,KWP Rzeszów,216
100,2006,KWP Szczecin,165
101,2006,KWP Wrocław,289
102,2007,KSP Warszawa,154
103,2007,KWP Białystok,160
104,2007,KWP Bydgoszcz,215
105,2007,KWP Gdańsk,208
106,2007,KWP Gorzów Wielk.,152
107,2007,KWP Katowice,346
108,2007,KWP Kielce,123
109,2007,KWP Kraków,253
110,2007,KWP Łódź,297
111,2007,KWP Lublin,231
112,2007,KWP Olsztyn,157
113,2007,KWP Opole,88
114,2007,KWP Poznań,360
115,2007,KWP Radom,264
116,2007,KWP Rzeszów,145
117,2007,KWP Szczecin,138
118,2007,KWP Wrocław,239
119,2008,KSP Warszawa,187
120,2008,KWP Białystok,182
121,2008,KWP Bydgoszcz,269
122,2008,KWP Gdańsk,228
123,2008,KWP Gorzów Wielk.,129
124,2008,KWP Katowice,368
125,2008,KWP Kielce,119
126,2008,KWP Kraków,302
127,2008,KWP Łódź,301
128,2008,KWP Lublin,299
129,2008,KWP Olsztyn,178
130,2008,KWP Opole,85
131,2008,KWP Poznań,296
132,2008,KWP Radom,435
133,2008,KWP Rzeszów,162
134,2008,KWP Szczecin,152
135,2008,KWP Wrocław,272
136,2009,KSP Warszawa,208
137,2009,KWP Białystok,173
138,2009,KWP Bydgoszcz,276
139,2009,KWP Gdańsk,260
140,2009,KWP Gorzów Wielk.,170
141,2009,KWP Katowice,468
142,2009,KWP Kielce,127
143,2009,KWP Kraków,363
144,2009,KWP Łódź,369
145,2009,KWP Lublin,309
146,2009,KWP Olsztyn,188
147,2009,KWP Opole,116
148,2009,KWP Poznań,380
149,2009,KWP Radom,385
150,2009,KWP Rzeszów,176
151,2009,KWP Szczecin,168
152,2009,KWP Wrocław,248
153,2010,KSP Warszawa,190
154,2010,KWP Białystok,168
155,2010,KWP Bydgoszcz,252
156,2010,KWP Gdańsk,207
157,2010,KWP Gorzów Wielk.,129
158,2010,KWP Katowice,468
159,2010,KWP Kielce,184
160,2010,KWP Kraków,349
161,2010,KWP Łódź,334
162,2010,KWP Lublin,285
163,2010,KWP Olsztyn,197
164,2010,KWP Opole,94
165,2010,KWP Poznań,308
166,2010,KWP Radom,354
167,2010,KWP Rzeszów,191
168,2010,KWP Szczecin,136
169,2010,KWP Wrocław,241
170,2011,KSP Warszawa,185
171,2011,KWP Białystok,162
172,2011,KWP Bydgoszcz,271
173,2011,KWP Gdańsk,212
174,2011,KWP Gorzów Wielk.,137
175,2011,KWP Katowice,435
176,2011,KWP Kielce,154
177,2011,KWP Kraków,342
178,2011,KWP Łódź,342
179,2011,KWP Lublin,249
180,2011,KWP Olsztyn,173
181,2011,KWP Opole,68
182,2011,KWP Poznań,266
183,2011,KWP Radom,328
184,2011,KWP Rzeszów,152
185,2011,KWP Szczecin,155
186,2011,KWP Wrocław,208
187,2012,KSP Warszawa,318
188,2012,KWP Białystok,176
189,2012,KWP Bydgoszcz,291
190,2012,KWP Gdańsk,194
191,2012,KWP Gorzów Wielk.,154
192,2012,KWP Katowice,379
193,2012,KWP Kielce,311
194,2012,KWP Kraków,333
195,2012,KWP Łódź,373
196,2012,KWP Lublin,236
197,2012,KWP Olsztyn,194
198,2012,KWP Opole,99
199,2012,KWP Poznań,245
200,2012,KWP Radom,323
201,2012,KWP Rzeszów,192
202,2012,KWP Szczecin,128
203,2012,KWP Wrocław,231
204,2013,KSP Warszawa,444
205,2013,KWP Białystok,171
206,2013,KWP Bydgoszcz,259
207,2013,KWP Gdańsk,337
208,2013,KWP Gorzów Wlkp.,178
209,2013,KWP Katowice,783
210,2013,KWP Kielce,255
211,2013,KWP Kraków,479
212,2013,KWP Łódź,475
213,2013,KWP Lublin,386
214,2013,KWP Olsztyn,248
215,2013,KWP Opole,152
216,2013,KWP Poznań,407
217,2013,KWP Radom,459
218,2013,KWP Rzeszów,264
219,2013,KWP Szczecin,320
220,2013,KWP Wrocław,484
221,2014,KSP Warszawa,443
222,2014,KWP Białystok,176
223,2014,KWP Bydgoszcz,302
224,2014,KWP Gdańsk,338
225,2014,KWP Gorzów Wlkp.,162
226,2014,KWP Katowice,720
227,2014,KWP Kielce,237
