year,garnizon,outcome,suicides
1999,Białystok,Attempted,216
1999,Białystok,Fatal,190
1999,Bydgoszcz,Attempted,263
1999,Bydgoszcz,Fatal,248
1999,Gdańsk,Attempted,325
1999,Gdańsk,Fatal,300
1999,Gorzów Wlkp.,Attempted,194
1999,Gorzów Wlkp.,Fatal,179
1999,Katowice,Attempted,543
1999,Katowice,Fatal,488
1999,Kielce,Attempted,199
1999,Kielce,Fatal,190
1999,Kraków,Attempted,302
1999,Kraków,Fatal,282
1999,Łódź,Attempted,410
1999,Łódź,Fatal,392
1999,Lublin,Attempted,283
1999,Lublin,Fatal,261
1999,Olsztyn,Attempted,201
1999,Olsztyn,Fatal,179
1999,Opole,Attempted,189
1999,Opole,Fatal,155
1999,Poznań,Attempted,644
1999,Poznań,Fatal,572
1999,Radom,Attempted,403
1999,Radom,Fatal,394
1999,Rzeszów,Attempted,205
1999,Rzeszów,Fatal,189
1999,Szczecin,Attempted,313
1999,Szczecin,Fatal,236
1999,Warszawa,Attempted,114
1999,Warszawa,Fatal,101
1999,Wrocław,Attempted,378
1999,Wrocław,Fatal,339
2000,Białystok,Attempted,242
2000,Białystok,Fatal,205
2000,Bydgoszcz,Attempted,262
2000,Bydgoszcz,Fatal,240
2000,Gdańsk,Attempted,337
2000,Gdańsk,Fatal,300
2000,Gorzów Wlkp.,Attempted,178
2000,Gorzów Wlkp.,Fatal,156
2000,Katowice,Attempted,574
2000,Katowice,Fatal,491
2000,Kielce,Attempted,197
2000,Kielce,Fatal,184
2000,Kraków,Attempted,545
2000,Kraków,Fatal,474
2000,Łódź,Attempted,402
2000,Łódź,Fatal,366
2000,Lublin,Attempted,288
2000,Lublin,Fatal,259
2000,Olsztyn,Attempted,149
2000,Olsztyn,Fatal,137
2000,Opole,Attempted,176
2000,Opole,Fatal,154
2000,Poznań,Attempted,644
2000,Poznań,Fatal,551
2000,Radom,Attempted,439
2000,Radom,Fatal,408
2000,Rzeszów,Attempted,348
2000,Rzeszów,Fatal,314
2000,Szczecin,Attempted,305
2000,Szczecin,Fatal,219
2000,Warszawa,Attempted,104
2000,Warszawa,Fatal,95
2000,Wrocław,Attempted,431
2000,Wrocław,Fatal,394
2001,Białystok,Attempted,221
2001,Białystok,Fatal,187
2001,Bydgoszcz,Attempted,268
2001,Bydgoszcz,Fatal,245
2001,Gdańsk,Attempted,364
2001,Gdańsk,Fatal,325
2001,Gorzów Wlkp.,Attempted,246
2001,Gorzów Wlkp.,Fatal,210
2001,Katowice,Attempted,558
2001,Katowice,Fatal,473
2001,Kielce,Attempted,192
2001,Kielce,Fatal,179
2001,Kraków,Attempted,591
2001,Kraków,Fatal,508
2001,Łódź,Attempted,380
2001,Łódź,Fatal,342
2001,Lublin,Attempted,313
2001,Lublin,Fatal,271
2001,Olsztyn,Attempted,240
2001,Olsztyn,Fatal,206
2001,Opole,Attempted,152
2001,Opole,Fatal,134
2001,Poznań,Attempted,641
2001,Poznań,Fatal,551
2001,Radom,Attempted,464
2001,Radom,Fatal,426
2001,Rzeszów,Attempted,316
2001,Rzeszów,Fatal,293
2001,Szczecin,Attempted,301
2001,Szczecin,Fatal,208
2001,Warszawa,Attempted,93
2001,Warszawa,Fatal,81
2001,Wrocław,Attempted,372
2001,Wrocław,Fatal,332
2002,Białystok,Attempted,242
2002,Białystok,Fatal,198
2002,Bydgoszcz,Attempted,233
2002,Bydgoszcz,Fatal,216
2002,Gdańsk,Attempted,391
2002,Gdańsk,Fatal,360
2002,Gorzów Wlkp.,Attempted,243
2002,Gorzów Wlkp.,Fatal,194
2002,Katowice,Attempted,643
2002,Katowice,Fatal,544
2002,Kielce,Attempted,206
2002,Kielce,Fatal,190
2002,Kraków,Attempted,640
2002,Kraków,Fatal,542
2002,Łódź,Attempted,385
2002,Łódź,Fatal,338
2002,Lublin,Attempted,329
2002,Lublin,Fatal,288
2002,Olsztyn,Attempted,267
2002,Olsztyn,Fatal,228
2002,Opole,Attempted,157
2002,Opole,Fatal,134
2002,Poznań,Attempted,617
2002,Poznań,Fatal,506
2002,Radom,Attempted,393
2002,Radom,Fatal,369
2002,Rzeszów,Attempted,370
2002,Rzeszów,Fatal,320
2002,Szczecin,Attempted,311
2002,Szczecin,Fatal,210
2002,Warszawa,Attempted,129
2002,Warszawa,Fatal,116
2002,Wrocław,Attempted,372
2002,Wrocław,Fatal,347
2003,Białystok,Attempted,259
2003,Białystok,Fatal,217
2003,Bydgoszcz,Attempted,199
2003,Bydgoszcz,Fatal,183
2003,Gdańsk,Attempted,321
2003,Gdańsk,Fatal,296
2003,Gorzów Wlkp.,Attempted,180
2003,Gorzów Wlkp.,Fatal,143
2003,Katowice,Attempted,667
2003,Katowice,Fatal,522
2003,Kielce,Attempted,185
2003,Kielce,Fatal,169
2003,Kraków,Attempted,481
2003,Kraków,Fatal,416
2003,Łódź,Attempted,335
2003,Łódź,Fatal,300
2003,Lublin,Attempted,399
2003,Lublin,Fatal,355
2003,Olsztyn,Attempted,235
2003,Olsztyn,Fatal,199
2003,Opole,Attempted,159
2003,Opole,Fatal,128
2003,Poznań,Attempted,511
2003,Poznań,Fatal,406
2003,Radom,Attempted,336
2003,Radom,Fatal,310
2003,Rzeszów,Attempted,258
2003,Rzeszów,Fatal,229
2003,Szczecin,Attempted,331
2003,Szczecin,Fatal,219
2003,Warszawa,Attempted,191
2003,Warszawa,Fatal,167
2003,Wrocław,Attempted,420
2003,Wrocław,Fatal,375
2004,Białystok,Attempted,229
2004,Białystok,Fatal,180
2004,Bydgoszcz,Attempted,361
2004,Bydgoszcz,Fatal,325
2004,Gdańsk,Attempted,301
2004,Gdańsk,Fatal,261
2004,Gorzów Wlkp.,Attempted,211
2004,Gorzów Wlkp.,Fatal,155
2004,Katowice,Attempted,644
2004,Katowice,Fatal,486
2004,Kielce,Attempted,237
2004,Kielce,Fatal,215
2004,Kraków,Attempted,510
2004,Kraków,Fatal,441
2004,Łódź,Attempted,382
2004,Łódź,Fatal,338
2004,Lublin,Attempted,415
2004,Lublin,Fatal,342
2004,Olsztyn,Attempted,282
2004,Olsztyn,Fatal,219
2004,Opole,Attempted,182
2004,Opole,Fatal,148
2004,Poznań,Attempted,512
2004,Poznań,Fatal,424
2004,Radom,Attempted,336
2004,Radom,Fatal,312
2004,Rzeszów,Attempted,261
2004,Rzeszów,Fatal,212
2004,Szczecin,Attempted,288
2004,Szczecin,Fatal,197
2004,Warszawa,Attempted,292
2004,Warszawa,Fatal,241
2004,Wrocław,Attempted,450
2004,Wrocław,Fatal,397
2005,Białystok,Attempted,223
2005,Białystok,Fatal,181
2005,Bydgoszcz,Attempted,327
2005,Bydgoszcz,Fatal,277
2005,Gdańsk,Attempted,339
2005,Gdańsk,Fatal,290
2005,Gorzów Wlkp.,Attempted,191
2005,Gorzów Wlkp.,Fatal,142
2005,Katowice,Attempted,664
2005,Katowice,Fatal,505
2005,Kielce,Attempted,174
2005,Kielce,Fatal,157
2005,Kraków,Attempted,471
2005,Kraków,Fatal,411
2005,Łódź,Attempted,378
2005,Łódź,Fatal,313
2005,Lublin,Attempted,383
2005,Lublin,Fatal,309
2005,Olsztyn,Attempted,308
2005,Olsztyn,Fatal,205
2005,Opole,Attempted,163
2005,Opole,Fatal,111
2005,Poznań,Attempted,496
2005,Poznań,Fatal,416
2005,Radom,Attempted,364
2005,Radom,Fatal,341
2005,Rzeszów,Attempted,270
2005,Rzeszów,Fatal,223
2005,Szczecin,Attempted,272
2005,Szczecin,Fatal,209
2005,Warszawa,Attempted,264
2005,Warszawa,Fatal,225
2005,Wrocław,Attempted,338
2005,Wrocław,Fatal,306
2006,Białystok,Attempted,184
2006,Białystok,Fatal,129
2006,Bydgoszcz,Attempted,251
2006,Bydgoszcz,Fatal,225
2006,Gdańsk,Attempted,347
2006,Gdańsk,Fatal,292
2006,Gorzów Wlkp.,Attempted,223
2006,Gorzów Wlkp.,Fatal,160
2006,Katowice,Attempted,626
2006,Katowice,Fatal,448
2006,Kielce,Attempted,187
2006,Kielce,Fatal,173
2006,Kraków,Attempted,386
2006,Kraków,Fatal,317
2006,Łódź,Attempted,389
2006,Łódź,Fatal,314
2006,Lublin,Attempted,345
2006,Lublin,Fatal,276
2006,Olsztyn,Attempted,295
2006,Olsztyn,Fatal,186
2006,Opole,Attempted,181
2006,Opole,Fatal,107
2006,Poznań,Attempted,415
2006,Poznań,Fatal,348
2006,Radom,Attempted,312
2006,Radom,Fatal,277
2006,Rzeszów,Attempted,265
2006,Rzeszów,Fatal,216
2006,Szczecin,Attempted,234
2006,Szczecin,Fatal,165
2006,Warszawa,Attempted,192
2006,Warszawa,Fatal,168
2006,Wrocław,Attempted,320
2006,Wrocław,Fatal,289
2007,Białystok,Attempted,215
2007,Białystok,Fatal,160
2007,Bydgoszcz,Attempted,251
2007,Bydgoszcz,Fatal,215
2007,Gdańsk,Attempted,267
2007,Gdańsk,Fatal,208
2007,Gorzów Wlkp.,Attempted,190
2007,Gorzów Wlkp.,Fatal,152
2007,Katowice,Attempted,514
2007,Katowice,Fatal,346
2007,Kielce,Attempted,139
2007,Kielce,Fatal,123
2007,Kraków,Attempted,337
2007,Kraków,Fatal,253
2007,Łódź,Attempted,390
2007,Łódź,Fatal,297
2007,Lublin,Attempted,295
2007,Lublin,Fatal,231
2007,Olsztyn,Attempted,306
2007,Olsztyn,Fatal,157
2007,Opole,Attempted,148
2007,Opole,Fatal,88
2007,Poznań,Attempted,428
2007,Poznań,Fatal,360
2007,Radom,Attempted,301
2007,Radom,Fatal,264
2007,Rzeszów,Attempted,198
2007,Rzeszów,Fatal,145
2007,Szczecin,Attempted,221
2007,Szczecin,Fatal,138
2007,Warszawa,Attempted,176
2007,Warszawa,Fatal,154
2007,Wrocław,Attempted,282
2007,Wrocław,Fatal,239
2008,Białystok,Attempted,247
2008,Białystok,Fatal,182
2008,Bydgoszcz,Attempted,323
2008,Bydgoszcz,Fatal,269
2008,Gdańsk,Attempted,287
2008,Gdańsk,Fatal,228
2008,Gorzów Wlkp.,Attempted,201
2008,Gorzów Wlkp.,Fatal,129
2008,Katowice,Attempted,536
2008,Katowice,Fatal,368
2008,Kielce,Attempted,135
2008,Kielce,Fatal,119
2008,Kraków,Attempted,369
2008,Kraków,Fatal,302
2008,Łódź,Attempted,379
2008,Łódź,Fatal,301
2008,Lublin,Attempted,398
2008,Lublin,Fatal,299
2008,Olsztyn,Attempted,361
2008,Olsztyn,Fatal,178
2008,Opole,Attempted,157
2008,Opole,Fatal,85
2008,Poznań,Attempted,367
2008,Poznań,Fatal,296
2008,Radom,Attempted,487
2008,Radom,Fatal,435
2008,Rzeszów,Attempted,239
2008,Rzeszów,Fatal,162
2008,Szczecin,Attempted,226
2008,Szczecin,Fatal,152
2008,Warszawa,Attempted,214
2008,Warszawa,Fatal,187
2008,Wrocław,Attempted,311
2008,Wrocław,Fatal,272
2009,Białystok,Attempted,251
2009,Białystok,Fatal,173
2009,Bydgoszcz,Attempted,333
2009,Bydgoszcz,Fatal,276
2009,Gdańsk,Attempted,341
2009,Gdańsk,Fatal,260
2009,Gorzów Wlkp.,Attempted,285
2009,Gorzów Wlkp.,Fatal,170
2009,Katowice,Attempted,712
2009,Katowice,Fatal,468
2009,Kielce,Attempted,155
2009,Kielce,Fatal,127
2009,Kraków,Attempted,463
2009,Kraków,Fatal,363
2009,Łódź,Attempted,471
2009,Łódź,Fatal,369
2009,Lublin,Attempted,390
2009,Lublin,Fatal,309
2009,Olsztyn,Attempted,395
2009,Olsztyn,Fatal,188
2009,Opole,Attempted,185
2009,Opole,Fatal,116
2009,Poznań,Attempted,451
2009,Poznań,Fatal,380
2009,Radom,Attempted,452
2009,Radom,Fatal,385
2009,Rzeszów,Attempted,242
2009,Rzeszów,Fatal,176
2009,Szczecin,Attempted,238
2009,Szczecin,Fatal,168
2009,Warszawa,Attempted,254
2009,Warszawa,Fatal,208
2009,Wrocław,Attempted,295
2009,Wrocław,Fatal,248
2010,Białystok,Attempted,234
2010,Białystok,Fatal,168
2010,Bydgoszcz,Attempted,291
2010,Bydgoszcz,Fatal,252
2010,Gdańsk,Attempted,268
2010,Gdańsk,Fatal,207
2010,Gorzów Wlkp.,Attempted,183
2010,Gorzów Wlkp.,Fatal,129
2010,Katowice,Attempted,698
2010,Katowice,Fatal,468
2010,Kielce,Attempted,208
2010,Kielce,Fatal,184
2010,Kraków,Attempted,467
2010,Kraków,Fatal,349
2010,Łódź,Attempted,440
2010,Łódź,Fatal,334
2010,Lublin,Attempted,359
2010,Lublin,Fatal,285
2010,Olsztyn,Attempted,373
2010,Olsztyn,Fatal,197
2010,Opole,Attempted,186
2010,Opole,Fatal,94
2010,Poznań,Attempted,374
2010,Poznań,Fatal,308
2010,Radom,Attempted,416
2010,Radom,Fatal,354
2010,Rzeszów,Attempted,252
2010,Rzeszów,Fatal,191
2010,Szczecin,Attempted,206
2010,Szczecin,Fatal,136
2010,Warszawa,Attempted,235
2010,Warszawa,Fatal,190
2010,Wrocław,Attempted,266
2010,Wrocław,Fatal,241
2011,Białystok,Attempted,220
2011,Białystok,Fatal,162
2011,Bydgoszcz,Attempted,330
2011,Bydgoszcz,Fatal,271
2011,Gdańsk,Attempted,260
2011,Gdańsk,Fatal,212
2011,Gorzów Wlkp.,Attempted,214
2011,Gorzów Wlkp.,Fatal,137
2011,Katowice,Attempted,695
2011,Katowice,Fatal,435
2011,Kielce,Attempted,172
2011,Kielce,Fatal,154
2011,Kraków,Attempted,439
2011,Kraków,Fatal,342
2011,Łódź,Attempted,436
2011,Łódź,Fatal,342
2011,Lublin,Attempted,313
2011,Lublin,Fatal,249
2011,Olsztyn,Attempted,336
2011,Olsztyn,Fatal,173
2011,Opole,Attempted,141
2011,Opole,Fatal,68
2011,Poznań,Attempted,326
2011,Poznań,Fatal,266
2011,Radom,Attempted,356
2011,Radom,Fatal,328
2011,Rzeszów,Attempted,197
2011,Rzeszów,Fatal,152
2011,Szczecin,Attempted,245
2011,Szczecin,Fatal,155
2011,Warszawa,Attempted,203
2011,Warszawa,Fatal,185
2011,Wrocław,Attempted,241
2011,Wrocław,Fatal,208
2012,Białystok,Attempted,232
2012,Białystok,Fatal,176
2012,Bydgoszcz,Attempted,348
2012,Bydgoszcz,Fatal,291
2012,Gdańsk,Attempted,247
2012,Gdańsk,Fatal,194
2012,Gorzów Wlkp.,Attempted,248
2012,Gorzów Wlkp.,Fatal,154
2012,Katowice,Attempted,612
2012,Katowice,Fatal,379
2012,Kielce,Attempted,576
2012,Kielce,Fatal,311
2012,Kraków,Attempted,468
2012,Kraków,Fatal,333
2012,Łódź,Attempted,511
2012,Łódź,Fatal,373
2012,Lublin,Attempted,302
2012,Lublin,Fatal,236
2012,Olsztyn,Attempted,346
2012,Olsztyn,Fatal,194
2012,Opole,Attempted,148
2012,Opole,Fatal,99
2012,Poznań,Attempted,294
2012,Poznań,Fatal,245
2012,Radom,Attempted,350
2012,Radom,Fatal,323
2012,Rzeszów,Attempted,233
2012,Rzeszów,Fatal,192
2012,Szczecin,Attempted,229
2012,Szczecin,Fatal,128
2012,Warszawa,Attempted,385
2012,Warszawa,Fatal,318
2012,Wrocław,Attempted,262
2012,Wrocław,Fatal,231
2013,Białystok,Attempted,283
2013,Białystok,Fatal,171
2013,Bydgoszcz,Attempted,303
2013,Bydgoszcz,Fatal,259
2013,Gdańsk,Attempted,399
2013,Gdańsk,Fatal,337
2013,Gorzów Wlkp.,Attempted,265
2013,Gorzów Wlkp.,Fatal,178
2013,Katowice,Attempted,1149
2013,Katowice,Fatal,783
2013,Kielce,Attempted,725
2013,Kielce,Fatal,255
2013,Kraków,Attempted,752
2013,Kraków,Fatal,479
2013,Łódź,Attempted,698
2013,Łódź,Fatal,474
2013,Lublin,Attempted,474
2013,Lublin,Fatal,386
2013,Olsztyn,Attempted,461
2013,Olsztyn,Fatal,248
2013,Opole,Attempted,218
2013,Opole,Fatal,152
2013,Poznań,Attempted,504
2013,Poznań,Fatal,407
2013,Radom,Attempted,527
2013,Radom,Fatal,459
2013,Rzeszów,Attempted,327
2013,Rzeszów,Fatal,264
2013,Szczecin,Attempted,416
2013,Szczecin,Fatal,320
2013,Warszawa,Attempted,510
2013,Warszawa,Fatal,444
2013,Wrocław,Attempted,563
2013,Wrocław,Fatal,484
2014,Białystok,Attempted,358
2014,Białystok,Fatal,176
2014,Bydgoszcz,Attempted,326
2014,Bydgoszcz,Fatal,302
2014,Gdańsk,Attempted,449
2014,Gdańsk,Fatal,338
2014,Gorzów Wlkp.,Attempted,241
2014,Gorzów Wlkp.,Fatal,162
2014,Katowice,Attempted,1407
2014,Katowice,Fatal,720
2014,Kielce,Attempted,839
2014,Kielce,Fatal,237
2014,Kraków,Attempted,1004
2014,Kraków,Fatal,500
2014,Łódź,Attempted,893
2014,Łódź,Fatal,454
2014,Lublin,Attempted,532
2014,Lublin,Fatal,365
2014,Olsztyn,Attempted,627
2014,Olsztyn,Fatal,285
2014,Opole,Attempted,228
2014,Opole,Fatal,133
2014,Poznań,Attempted,601
2014,Poznań,Fatal,454
2014,Radom,Attempted,598
2014,Radom,Fatal,450
2014,Rzeszów,Attempted,425
2014,Rzeszów,Fatal,273
2014,Szczecin,Attempted,457
2014,Szczecin,Fatal,319
2014,Warszawa,Attempted,539
2014,Warszawa,Fatal,443
2014,Wrocław,Attempted,683
2014,Wrocław,Fatal,554
2015,Białystok,Attempted,310
2015,Białystok,Fatal,160
2015,Bydgoszcz,Attempted,344
2015,Bydgoszcz,Fatal,278
2015,Gdańsk,Attempted,470
2015,Gdańsk,Fatal,333
2015,Gorzów Wlkp.,Attempted,278
2015,Gorzów Wlkp.,Fatal,180
2015,Katowice,Attempted,1511
2015,Katowice,Fatal,687
2015,Kielce,Attempted,793
2015,Kielce,Fatal,233
2015,Kraków,Attempted,898
2015,Kraków,Fatal,436
2015,Łódź,Attempted,906
2015,Łódź,Fatal,400
2015,Lublin,Attempted,502
2015,Lublin,Fatal,351
2015,Olsztyn,Attempted,589
2015,Olsztyn,Fatal,254
2015,Opole,Attempted,235
2015,Opole,Fatal,144
2015,Poznań,Attempted,574
2015,Poznań,Fatal,400
2015,Radom,Attempted,559
2015,Radom,Fatal,413
2015,Rzeszów,Attempted,466
2015,Rzeszów,Fatal,266
2015,Szczecin,Attempted,435
2015,Szczecin,Fatal,284
2015,Warszawa,Attempted,484
2015,Warszawa,Fatal,383
2015,Wrocław,Attempted,619
2015,Wrocław,Fatal,486
2016,Białystok,Attempted,389
2016,Białystok,Fatal,167
2016,Bydgoszcz,Attempted,351
2016,Bydgoszcz,Fatal,271
2016,Gdańsk,Attempted,461
2016,Gdańsk,Fatal,293
2016,Gorzów Wlkp.,Attempted,284
2016,Gorzów Wlkp.,Fatal,171
2016,Katowice,Attempted,1436
2016,Katowice,Fatal,650
2016,Kielce,Attempted,670
2016,Kielce,Fatal,210
2016,Kraków,Attempted,1029
2016,Kraków,Fatal,443
2016,Łódź,Attempted,1003
2016,Łódź,Fatal,379
2016,Lublin,Attempted,465
2016,Lublin,Fatal,341
2016,Olsztyn,Attempted,483
