year,garnizon,education,suicides,outcome
1999,Wrocław,basic incomplete,13,Attempted
1999,Wrocław,basic,90,Attempted
1999,Wrocław,technical/professional,98,Attempted
1999,Wrocław,medium,35,Attempted
1999,Wrocław,higher,4,Attempted
1999,Bydgoszcz,basic incomplete,13,Attempted
1999,Bydgoszcz,basic,79,Attempted
1999,Bydgoszcz,technical/professional,62,Attempted
1999,Bydgoszcz,medium,26,Attempted
1999,Bydgoszcz,higher,2,Attempted
1999,Lublin,basic incomplete,21,Attempted
1999,Lublin,basic,100,Attempted
1999,Lublin,technical/professional,61,Attempted
1999,Lublin,medium,21,Attempted
1999,Lublin,higher,5,Attempted
1999,Gorzów Wlkp.,basic incomplete,4,Attempted
1999,Gorzów Wlkp.,basic,32,Attempted
1999,Gorzów Wlkp.,technical/professional,43,Attempted
1999,Gorzów Wlkp.,medium,15,Attempted
1999,Gorzów Wlkp.,higher,5,Attempted
1999,Łódź,basic incomplete,39,Attempted
1999,Łódź,basic,143,Attempted
1999,Łódź,technical/professional,76,Attempted
1999,Łódź,medium,23,Attempted
1999,Łódź,higher,10,Attempted
1999,Kraków,basic incomplete,9,Attempted
1999,Kraków,basic,88,Attempted
1999,Kraków,technical/professional,100,Attempted
1999,Kraków,medium,28,Attempted
1999,Kraków,higher,6,Attempted
1999,Radom,basic incomplete,32,Attempted
1999,Radom,basic,127,Attempted
1999,Radom,technical/professional,97,Attempted
1999,Radom,medium,35,Attempted
1999,Radom,higher,4,Attempted
1999,Opole,basic incomplete,11,Attempted
1999,Opole,basic,49,Attempted
1999,Opole,technical/professional,52,Attempted
1999,Opole,medium,12,Attempted
1999,Opole,higher,4,Attempted
1999,Rzeszów,basic incomplete,9,Attempted
1999,Rzeszów,basic,63,Attempted
1999,Rzeszów,technical/professional,54,Attempted
1999,Rzeszów,medium,23,Attempted
1999,Rzeszów,higher,4,Attempted
1999,Białystok,basic incomplete,24,Attempted
1999,Białystok,basic,74,Attempted
1999,Białystok,technical/professional,40,Attempted
1999,Białystok,medium,18,Attempted
1999,Białystok,higher,6,Attempted
1999,Gdańsk,basic incomplete,10,Attempted
1999,Gdańsk,basic,78,Attempted
1999,Gdańsk,technical/professional,57,Attempted
1999,Gdańsk,medium,20,Attempted
1999,Gdańsk,higher,6,Attempted
1999,Katowice,basic incomplete,23,Attempted
1999,Katowice,basic,91,Attempted
1999,Katowice,technical/professional,156,Attempted
1999,Katowice,medium,37,Attempted
1999,Katowice,higher,7,Attempted
1999,Kielce,basic incomplete,12,Attempted
1999,Kielce,basic,64,Attempted
1999,Kielce,technical/professional,62,Attempted
1999,Kielce,medium,16,Attempted
1999,Kielce,higher,5,Attempted
1999,Olsztyn,basic incomplete,21,Attempted
1999,Olsztyn,basic,57,Attempted
1999,Olsztyn,technical/professional,35,Attempted
1999,Olsztyn,medium,21,Attempted
1999,Olsztyn,higher,4,Attempted
1999,Poznań,basic incomplete,33,Attempted
1999,Poznań,basic,175,Attempted
1999,Poznań,technical/professional,211,Attempted
1999,Poznań,medium,57,Attempted
1999,Poznań,higher,18,Attempted
1999,Szczecin,basic incomplete,13,Attempted
1999,Szczecin,basic,89,Attempted
1999,Szczecin,technical/professional,69,Attempted
1999,Szczecin,medium,23,Attempted
1999,Szczecin,higher,2,Attempted
1999,Warszawa,basic incomplete,4,Attempted
1999,Warszawa,basic,12,Attempted
1999,Warszawa,technical/professional,30,Attempted
1999,Warszawa,medium,27,Attempted
1999,Warszawa,higher,2,Attempted
2000,Wrocław,basic incomplete,17,Attempted
2000,Wrocław,basic,94,Attempted
2000,Wrocław,technical/professional,99,Attempted
2000,Wrocław,medium,36,Attempted
2000,Wrocław,higher,7,Attempted
2000,Bydgoszcz,basic incomplete,7,Attempted
2000,Bydgoszcz,basic,66,Attempted
2000,Bydgoszcz,technical/professional,60,Attempted
2000,Bydgoszcz,medium,18,Attempted
2000,Bydgoszcz,higher,5,Attempted
2000,Lublin,basic incomplete,25,Attempted
2000,Lublin,basic,90,Attempted
2000,Lublin,technical/professional,60,Attempted
2000,Lublin,medium,19,Attempted
2000,Lublin,higher,4,Attempted
2000,Gorzów Wlkp.,basic incomplete,7,Attempted
2000,Gorzów Wlkp.,basic,26,Attempted
2000,Gorzów Wlkp.,technical/professional,35,Attempted
2000,Gorzów Wlkp.,medium,11,Attempted
2000,Gorzów Wlkp.,higher,4,Attempted
2000,Łódź,basic incomplete,26,Attempted
2000,Łódź,basic,109,Attempted
2000,Łódź,technical/professional,87,Attempted
2000,Łódź,medium,28,Attempted
2000,Łódź,higher,4,Attempted
2000,Kraków,basic incomplete,19,Attempted
2000,Kraków,basic,152,Attempted
2000,Kraków,technical/professional,129,Attempted
2000,Kraków,medium,53,Attempted
2000,Kraków,higher,20,Attempted
2000,Radom,basic incomplete,27,Attempted
2000,Radom,basic,138,Attempted
2000,Radom,technical/professional,100,Attempted
2000,Radom,medium,26,Attempted
2000,Radom,higher,6,Attempted
2000,Opole,basic incomplete,4,Attempted
2000,Opole,basic,35,Attempted
2000,Opole,technical/professional,34,Attempted
2000,Opole,medium,12,Attempted
2000,Opole,higher,3,Attempted
2000,Rzeszów,basic incomplete,19,Attempted
2000,Rzeszów,basic,107,Attempted
2000,Rzeszów,technical/professional,101,Attempted
2000,Rzeszów,medium,31,Attempted
2000,Rzeszów,higher,9,Attempted
2000,Białystok,basic incomplete,18,Attempted
2000,Białystok,basic,79,Attempted
2000,Białystok,technical/professional,37,Attempted
2000,Białystok,medium,21,Attempted
2000,Białystok,higher,5,Attempted
2000,Gdańsk,basic incomplete,18,Attempted
2000,Gdańsk,basic,65,Attempted
2000,Gdańsk,technical/professional,59,Attempted
2000,Gdańsk,medium,21,Attempted
2000,Gdańsk,higher,9,Attempted
2000,Katowice,basic incomplete,15,Attempted
2000,Katowice,basic,98,Attempted
2000,Katowice,technical/professional,165,Attempted
2000,Katowice,medium,51,Attempted
2000,Katowice,higher,11,Attempted
2000,Kielce,basic incomplete,13,Attempted
2000,Kielce,basic,51,Attempted
2000,Kielce,technical/professional,52,Attempted
2000,Kielce,medium,25,Attempted
2000,Kielce,higher,5,Attempted
2000,Olsztyn,basic incomplete,6,Attempted
2000,Olsztyn,basic,46,Attempted
2000,Olsztyn,technical/professional,21,Attempted
2000,Olsztyn,medium,13,Attempted
2000,Olsztyn,higher,1,Attempted
2000,Poznań,basic incomplete,24,Attempted
2000,Poznań,basic,161,Attempted
2000,Poznań,technical/professional,169,Attempted
