year,garnizon,job,suicides,outcome
1999,Wrocław,manual,55,Attempted
1999,Wrocław,white collar,12,Attempted
1999,Wrocław,self-employed,12,Attempted
1999,Wrocław,farmer,12,Attempted
1999,Wrocław,student (elementary),16,Attempted
1999,Wrocław,student (college/university),3,Attempted
1999,Wrocław,unemployed,105,Attempted
1999,Bydgoszcz,manual,45,Attempted
1999,Bydgoszcz,white collar,6,Attempted
1999,Bydgoszcz,self-employed,12,Attempted
1999,Bydgoszcz,farmer,28,Attempted
1999,Bydgoszcz,student (elementary),17,Attempted
1999,Bydgoszcz,student (college/university),4,Attempted
1999,Bydgoszcz,unemployed,49,Attempted
1999,Lublin,manual,31,Attempted
1999,Lublin,white collar,10,Attempted
1999,Lublin,self-employed,6,Attempted
1999,Lublin,farmer,60,Attempted
1999,Lublin,student (elementary),18,Attempted
1999,Lublin,student (college/university),2,Attempted
1999,Lublin,unemployed,51,Attempted
1999,Gorzów Wlkp.,manual,21,Attempted
1999,Gorzów Wlkp.,white collar,9,Attempted
1999,Gorzów Wlkp.,self-employed,8,Attempted
1999,Gorzów Wlkp.,farmer,9,Attempted
1999,Gorzów Wlkp.,student (elementary),10,Attempted
1999,Gorzów Wlkp.,student (college/university),1,Attempted
1999,Gorzów Wlkp.,unemployed,45,Attempted
1999,Łódź,manual,56,Attempted
1999,Łódź,white collar,14,Attempted
1999,Łódź,self-employed,7,Attempted
1999,Łódź,farmer,61,Attempted
1999,Łódź,student (elementary),16,Attempted
1999,Łódź,student (college/university),2,Attempted
1999,Łódź,unemployed,114,Attempted
1999,Kraków,manual,67,Attempted
1999,Kraków,white collar,10,Attempted
1999,Kraków,self-employed,12,Attempted
1999,Kraków,farmer,46,Attempted
1999,Kraków,student (elementary),13,Attempted
1999,Kraków,student (college/university),9,Attempted
1999,Kraków,unemployed,44,Attempted
1999,Radom,manual,60,Attempted
1999,Radom,white collar,13,Attempted
1999,Radom,self-employed,15,Attempted
1999,Radom,farmer,74,Attempted
1999,Radom,student (elementary),16,Attempted
1999,Radom,student (college/university),2,Attempted
1999,Radom,unemployed,92,Attempted
1999,Opole,manual,32,Attempted
1999,Opole,white collar,7,Attempted
1999,Opole,self-employed,5,Attempted
1999,Opole,farmer,15,Attempted
1999,Opole,student (elementary),15,Attempted
1999,Opole,student (college/university),1,Attempted
1999,Opole,unemployed,37,Attempted
1999,Rzeszów,manual,42,Attempted
1999,Rzeszów,white collar,7,Attempted
1999,Rzeszów,self-employed,2,Attempted
1999,Rzeszów,farmer,17,Attempted
