year,garnizon,place,suicides,outcome
1999,Wrocław,apartment,161,Attempted
1999,Wrocław,garage/basement/attic,51,Attempted
1999,Wrocław,farm building,39,Attempted
1999,Wrocław,railway,10,Attempted
1999,Wrocław,street,6,Attempted
1999,Wrocław,park/forest,46,Attempted
1999,Wrocław,river/lake,5,Attempted
1999,Wrocław,medical facility,5,Attempted
1999,Wrocław,legal_isolation,2,Attempted
1999,Wrocław,military area,0,Attempted
1999,Wrocław,workplace,3,Attempted
1999,Bydgoszcz,apartment,109,Attempted
1999,Bydgoszcz,garage/basement/attic,38,Attempted
1999,Bydgoszcz,farm building,48,Attempted
1999,Bydgoszcz,railway,6,Attempted
1999,Bydgoszcz,street,2,Attempted
1999,Bydgoszcz,park/forest,25,Attempted
1999,Bydgoszcz,river/lake,3,Attempted
1999,Bydgoszcz,medical facility,1,Attempted
1999,Bydgoszcz,legal_isolation,0,Attempted
1999,Bydgoszcz,military area,0,Attempted
1999,Bydgoszcz,workplace,2,Attempted
1999,Lublin,apartment,89,Attempted
1999,Lublin,garage/basement/attic,25,Attempted
1999,Lublin,farm building,84,Attempted
1999,Lublin,railway,4,Attempted
1999,Lublin,street,2,Attempted
1999,Lublin,park/forest,24,Attempted
1999,Lublin,river/lake,8,Attempted
1999,Lublin,medical facility,1,Attempted
1999,Lublin,legal_isolation,0,Attempted
1999,Lublin,military area,0,Attempted
1999,Lublin,workplace,0,Attempted
1999,Gorzów Wlkp.,apartment,66,Attempted
1999,Gorzów Wlkp.,garage/basement/attic,29,Attempted
1999,Gorzów Wlkp.,farm building,26,Attempted
1999,Gorzów Wlkp.,railway,3,Attempted
1999,Gorzów Wlkp.,street,2,Attempted
1999,Gorzów Wlkp.,park/forest,31,Attempted
1999,Gorzów Wlkp.,river/lake,6,Attempted
1999,Gorzów Wlkp.,medical facility,3,Attempted
1999,Gorzów Wlkp.,legal_isolation,2,Attempted
1999,Gorzów Wlkp.,military area,0,Attempted
1999,Gorzów Wlkp.,workplace,2,Attempted
1999,Łódź,apartment,167,Attempted
1999,Łódź,garage/basement/attic,43,Attempted
1999,Łódź,farm building,92,Attempted
1999,Łódź,railway,7,Attempted
1999,Łódź,street,1,Attempted
1999,Łódź,park/forest,39,Attempted
1999,Łódź,river/lake,3,Attempted
1999,Łódź,medical facility,3,Attempted
1999,Łódź,legal_isolation,3,Attempted
1999,Łódź,military area,0,Attempted
1999,Łódź,workplace,5,Attempted
1999,Kraków,apartment,80,Attempted
1999,Kraków,garage/basement/attic,46,Attempted
1999,Kraków,farm building,73,Attempted
1999,Kraków,railway,7,Attempted
1999,Kraków,street,1,Attempted
1999,Kraków,park/forest,38,Attempted
1999,Kraków,river/lake,8,Attempted
1999,Kraków,medical facility,3,Attempted
1999,Kraków,legal_isolation,1,Attempted
1999,Kraków,military area,0,Attempted
1999,Kraków,workplace,2,Attempted
1999,Radom,apartment,123,Attempted
1999,Radom,garage/basement/attic,50,Attempted
1999,Radom,farm building,115,Attempted
1999,Radom,railway,3,Attempted
1999,Radom,street,4,Attempted
1999,Radom,park/forest,39,Attempted
1999,Radom,river/lake,10,Attempted
1999,Radom,medical facility,6,Attempted
1999,Radom,legal_isolation,1,Attempted
1999,Radom,military area,0,Attempted
1999,Radom,workplace,3,Attempted
1999,Opole,apartment,79,Attempted
1999,Opole,garage/basement/attic,29,Attempted
1999,Opole,farm building,32,Attempted
1999,Opole,railway,7,Attempted
1999,Opole,street,1,Attempted
1999,Opole,park/forest,13,Attempted
1999,Opole,river/lake,1,Attempted
1999,Opole,medical facility,2,Attempted
1999,Opole,legal_isolation,0,Attempted
1999,Opole,military area,0,Attempted
1999,Opole,workplace,2,Attempted
1999,Rzeszów,apartment,45,Attempted
1999,Rzeszów,garage/basement/attic,36,Attempted
1999,Rzeszów,farm building,51,Attempted
1999,Rzeszów,railway,9,Attempted
1999,Rzeszów,street,1,Attempted
1999,Rzeszów,park/forest,16,Attempted
1999,Rzeszów,river/lake,5,Attempted
1999,Rzeszów,medical facility,5,Attempted
1999,Rzeszów,legal_isolation,1,Attempted
1999,Rzeszów,military area,1,Attempted
1999,Rzeszów,workplace,6,Attempted
1999,Białystok,apartment,86,Attempted
1999,Białystok,garage/basement/attic,21,Attempted
1999,Białystok,farm building,44,Attempted
1999,Białystok,railway,7,Attempted
1999,Białystok,street,0,Attempted
1999,Białystok,park/forest,21,Attempted
1999,Białystok,river/lake,3,Attempted
1999,Białystok,medical facility,6,Attempted
1999,Białystok,legal_isolation,0,Attempted
1999,Białystok,military area,0,Attempted
1999,Białystok,workplace,1,Attempted
1999,Gdańsk,apartment,128,Attempted
1999,Gdańsk,garage/basement/attic,38,Attempted
1999,Gdańsk,farm building,45,Attempted
1999,Gdańsk,railway,11,Attempted
1999,Gdańsk,street,3,Attempted
1999,Gdańsk,park/forest,33,Attempted
1999,Gdańsk,river/lake,8,Attempted
1999,Gdańsk,medical facility,6,Attempted
