year,garnizon,reason,suicides,outcome
2013,Bydgoszcz,mental illness,19,Attempted
2013,Bydgoszcz,physical illness,13,Attempted
2013,Bydgoszcz,virus carrier,0,Attempted
2013,Bydgoszcz,disability,0,Attempted
2013,Bydgoszcz,family problems,28,Attempted
2013,Bydgoszcz,heartbreak,16,Attempted
2013,Bydgoszcz,school/work problems,1,Attempted
2013,Bydgoszcz,loss of source of income,4,Attempted
2013,Bydgoszcz,poor economical condition,17,Attempted
2013,Bydgoszcz,committing a crime,1,Attempted
2013,Bydgoszcz,unwanted pregnancy,0,Attempted
2013,Bydgoszcz,death of a loved one,2,Attempted
2013,Białystok,mental illness,42,Attempted
2013,Białystok,physical illness,12,Attempted
2013,Białystok,virus carrier,0,Attempted
2013,Białystok,disability,0,Attempted
2013,Białystok,family problems,44,Attempted
2013,Białystok,heartbreak,16,Attempted
2013,Białystok,school/work problems,4,Attempted
2013,Białystok,loss of source of income,3,Attempted
2013,Białystok,poor economical condition,12,Attempted
2013,Białystok,committing a crime,3,Attempted
2013,Białystok,unwanted pregnancy,1,Attempted
2013,Białystok,death of a loved one,4,Attempted
2013,Gdańsk,mental illness,28,Attempted
2013,Gdańsk,physical illness,26,Attempted
2013,Gdańsk,virus carrier,0,Attempted
2013,Gdańsk,disability,2,Attempted
2013,Gdańsk,family problems,40,Attempted
2013,Gdańsk,heartbreak,28,Attempted
2013,Gdańsk,school/work problems,0,Attempted
2013,Gdańsk,loss of source of income,5,Attempted
2013,Gdańsk,poor economical condition,26,Attempted
2013,Gdańsk,committing a crime,2,Attempted
2013,Gdańsk,unwanted pregnancy,1,Attempted
2013,Gdańsk,death of a loved one,3,Attempted
2013,Gorzów Wlkp.,mental illness,8,Attempted
2013,Gorzów Wlkp.,physical illness,18,Attempted
2013,Gorzów Wlkp.,virus carrier,0,Attempted
2013,Gorzów Wlkp.,disability,0,Attempted
2013,Gorzów Wlkp.,family problems,36,Attempted
2013,Gorzów Wlkp.,heartbreak,20,Attempted
2013,Gorzów Wlkp.,school/work problems,1,Attempted
2013,Gorzów Wlkp.,loss of source of income,0,Attempted
