year,garnizon,civil_status,suicides,outcome
1999,Wrocław,single,119,Attempted
1999,Wrocław,married,155,Attempted
1999,Wrocław,concubine,20,Attempted
1999,Wrocław,widower,34,Attempted
1999,Wrocław,divorced,27,Attempted
1999,Wrocław,separated,4,Attempted
1999,Bydgoszcz,single,92,Attempted
1999,Bydgoszcz,married,123,Attempted
1999,Bydgoszcz,concubine,4,Attempted
1999,Bydgoszcz,widower,14,Attempted
1999,Bydgoszcz,divorced,18,Attempted
1999,Bydgoszcz,separated,6,Attempted
1999,Lublin,single,83,Attempted
1999,Lublin,married,142,Attempted
1999,Lublin,concubine,4,Attempted
1999,Lublin,widower,29,Attempted
1999,Lublin,divorced,7,Attempted
1999,Lublin,separated,8,Attempted
1999,Gorzów Wlkp.,single,51,Attempted
1999,Gorzów Wlkp.,married,82,Attempted
1999,Gorzów Wlkp.,concubine,13,Attempted
1999,Gorzów Wlkp.,widower,16,Attempted
1999,Gorzów Wlkp.,divorced,13,Attempted
1999,Gorzów Wlkp.,separated,1,Attempted
1999,Łódź,single,122,Attempted
1999,Łódź,married,179,Attempted
1999,Łódź,concubine,10,Attempted
1999,Łódź,widower,36,Attempted
1999,Łódź,divorced,30,Attempted
1999,Łódź,separated,11,Attempted
1999,Kraków,single,100,Attempted
1999,Kraków,married,150,Attempted
1999,Kraków,concubine,3,Attempted
1999,Kraków,widower,25,Attempted
1999,Kraków,divorced,11,Attempted
1999,Kraków,separated,5,Attempted
1999,Radom,single,134,Attempted
1999,Radom,married,195,Attempted
1999,Radom,concubine,7,Attempted
1999,Radom,widower,28,Attempted
1999,Radom,divorced,10,Attempted
1999,Radom,separated,6,Attempted
1999,Opole,single,44,Attempted
1999,Opole,married,104,Attempted
1999,Opole,concubine,8,Attempted
1999,Opole,widower,13,Attempted
1999,Opole,divorced,10,Attempted
1999,Opole,separated,1,Attempted
1999,Rzeszów,single,75,Attempted
1999,Rzeszów,married,106,Attempted
1999,Rzeszów,concubine,1,Attempted
1999,Rzeszów,widower,7,Attempted
1999,Rzeszów,divorced,8,Attempted
1999,Rzeszów,separated,2,Attempted
1999,Białystok,single,70,Attempted
1999,Białystok,married,99,Attempted
1999,Białystok,concubine,5,Attempted
1999,Białystok,widower,18,Attempted
1999,Białystok,divorced,14,Attempted
1999,Białystok,separated,0,Attempted
1999,Gdańsk,single,80,Attempted
1999,Gdańsk,married,155,Attempted
1999,Gdańsk,concubine,10,Attempted
1999,Gdańsk,widower,28,Attempted
1999,Gdańsk,divorced,17,Attempted
1999,Gdańsk,separated,2,Attempted
1999,Katowice,single,164,Attempted
1999,Katowice,married,265,Attempted
1999,Katowice,concubine,15,Attempted
1999,Katowice,widower,42,Attempted
1999,Katowice,divorced,27,Attempted
1999,Katowice,separated,6,Attempted
1999,Kielce,single,62,Attempted
1999,Kielce,married,110,Attempted
1999,Kielce,concubine,1,Attempted
1999,Kielce,widower,17,Attempted
1999,Kielce,divorced,7,Attempted
1999,Kielce,separated,1,Attempted
1999,Olsztyn,single,65,Attempted
1999,Olsztyn,married,96,Attempted
1999,Olsztyn,concubine,1,Attempted
1999,Olsztyn,widower,17,Attempted
1999,Olsztyn,divorced,13,Attempted
1999,Olsztyn,separated,3,Attempted
1999,Poznań,single,196,Attempted
1999,Poznań,married,332,Attempted
1999,Poznań,concubine,8,Attempted
1999,Poznań,widower,44,Attempted
1999,Poznań,divorced,33,Attempted
1999,Poznań,separated,7,Attempted
1999,Szczecin,single,101,Attempted
1999,Szczecin,married,128,Attempted
1999,Szczecin,concubine,14,Attempted
1999,Szczecin,widower,15,Attempted
1999,Szczecin,divorced,27,Attempted
1999,Szczecin,separated,4,Attempted
1999,Warszawa,single,44,Attempted
1999,Warszawa,married,34,Attempted
1999,Warszawa,concubine,4,Attempted
1999,Warszawa,widower,9,Attempted
1999,Warszawa,divorced,17,Attempted
1999,Warszawa,separated,1,Attempted
2000,Wrocław,single,134,Attempted
2000,Wrocław,married,195,Attempted
2000,Wrocław,concubine,16,Attempted
2000,Wrocław,widower,35,Attempted
2000,Wrocław,divorced,26,Attempted
2000,Wrocław,separated,2,Attempted
2000,Bydgoszcz,single,80,Attempted
2000,Bydgoszcz,married,123,Attempted
2000,Bydgoszcz,concubine,9,Attempted
2000,Bydgoszcz,widower,23,Attempted
2000,Bydgoszcz,divorced,14,Attempted
2000,Bydgoszcz,separated,2,Attempted
2000,Lublin,single,91,Attempted
2000,Lublin,married,127,Attempted
2000,Lublin,concubine,10,Attempted
2000,Lublin,widower,27,Attempted
2000,Lublin,divorced,14,Attempted
2000,Lublin,separated,4,Attempted
2000,Gorzów Wlkp.,single,51,Attempted
2000,Gorzów Wlkp.,married,71,Attempted
2000,Gorzów Wlkp.,concubine,12,Attempted
2000,Gorzów Wlkp.,widower,13,Attempted
2000,Gorzów Wlkp.,divorced,8,Attempted
2000,Gorzów Wlkp.,separated,5,Attempted
2000,Łódź,single,114,Attempted
2000,Łódź,married,186,Attempted
2000,Łódź,concubine,10,Attempted
2000,Łódź,widower,38,Attempted
2000,Łódź,divorced,30,Attempted
2000,Łódź,separated,2,Attempted
2000,Kraków,single,200,Attempted
2000,Kraków,married,254,Attempted
2000,Kraków,concubine,12,Attempted
2000,Kraków,widower,43,Attempted
2000,Kraków,divorced,17,Attempted
2000,Kraków,separated,5,Attempted
2000,Radom,single,141,Attempted
2000,Radom,married,213,Attempted
2000,Radom,concubine,7,Attempted
2000,Radom,widower,31,Attempted
2000,Radom,divorced,14,Attempted
2000,Radom,separated,13,Attempted
2000,Opole,single,47,Attempted
2000,Opole,married,85,Attempted
2000,Opole,concubine,7,Attempted
2000,Opole,widower,14,Attempted
2000,Opole,divorced,11,Attempted
2000,Opole,separated,3,Attempted
2000,Rzeszów,single,128,Attempted
2000,Rzeszów,married,166,Attempted
2000,Rzeszów,concubine,4,Attempted
2000,Rzeszów,widower,29,Attempted
2000,Rzeszów,divorced,10,Attempted
2000,Rzeszów,separated,3,Attempted
2000,Białystok,single,85,Attempted
2000,Białystok,married,100,Attempted
2000,Białystok,concubine,6,Attempted
2000,Białystok,widower,16,Attempted
2000,Białystok,divorced,14,Attempted
2000,Białystok,separated,2,Attempted
2000,Gdańsk,single,92,Attempted
2000,Gdańsk,married,149,Attempted
2000,Gdańsk,concubine,6,Attempted
2000,Gdańsk,widower,23,Attempted
2000,Gdańsk,divorced,21,Attempted
2000,Gdańsk,separated,2,Attempted
2000,Katowice,single,165,Attempted
2000,Katowice,married,268,Attempted
2000,Katowice,concubine,19,Attempted
2000,Katowice,widower,40,Attempted
2000,Katowice,divorced,35,Attempted
2000,Katowice,separated,5,Attempted
2000,Kielce,single,60,Attempted
2000,Kielce,married,100,Attempted
2000,Kielce,concubine,3,Attempted
2000,Kielce,widower,11,Attempted
2000,Kielce,divorced,9,Attempted
2000,Kielce,separated,7,Attempted
2000,Olsztyn,single,52,Attempted
2000,Olsztyn,married,63,Attempted
2000,Olsztyn,concubine,5,Attempted
2000,Olsztyn,widower,11,Attempted
2000,Olsztyn,divorced,6,Attempted
2000,Olsztyn,separated,0,Attempted
2000,Poznań,single,157,Attempted
2000,Poznań,married,339,Attempted
2000,Poznań,concubine,11,Attempted
2000,Poznań,widower,59,Attempted
2000,Poznań,divorced,30,Attempted
2000,Poznań,separated,8,Attempted
2000,Szczecin,single,113,Attempted
2000,Szczecin,married,123,Attempted
2000,Szczecin,concubine,14,Attempted
2000,Szczecin,widower,18,Attempted
2000,Szczecin,divorced,15,Attempted
2000,Szczecin,separated,4,Attempted
2000,Warszawa,single,32,Attempted
2000,Warszawa,married,34,Attempted
2000,Warszawa,concubine,3,Attempted
2000,Warszawa,widower,12,Attempted
2000,Warszawa,divorced,12,Attempted
2000,Warszawa,separated,1,Attempted
2001,Wrocław,single,123,Attempted
2001,Wrocław,married,161,Attempted
2001,Wrocław,concubine,17,Attempted
2001,Wrocław,widower,29,Attempted
2001,Wrocław,divorced,22,Attempted
2001,Wrocław,separated,2,Attempted
2001,Bydgoszcz,single,90,Attempted
2001,Bydgoszcz,married,118,Attempted
2001,Bydgoszcz,concubine,7,Attempted
2001,Bydgoszcz,widower,23,Attempted
2001,Bydgoszcz,divorced,14,Attempted
2001,Bydgoszcz,separated,5,Attempted
2001,Lublin,single,106,Attempted
2001,Lublin,married,149,Attempted
2001,Lublin,concubine,5,Attempted
2001,Lublin,widower,24,Attempted
2001,Lublin,divorced,11,Attempted
2001,Lublin,separated,9,Attempted
2001,Gorzów Wlkp.,single,77,Attempted
2001,Gorzów Wlkp.,married,112,Attempted
2001,Gorzów Wlkp.,concubine,8,Attempted
2001,Gorzów Wlkp.,widower,15,Attempted
2001,Gorzów Wlkp.,divorced,15,Attempted
2001,Gorzów Wlkp.,separated,1,Attempted
2001,Łódź,single,112,Attempted
2001,Łódź,married,173,Attempted
2001,Łódź,concubine,13,Attempted
2001,Łódź,widower,34,Attempted
2001,Łódź,divorced,24,Attempted
2001,Łódź,separated,6,Attempted
2001,Kraków,single,203,Attempted
2001,Kraków,married,266,Attempted
2001,Kraków,concubine,8,Attempted
2001,Kraków,widower,42,Attempted
2001,Kraków,divorced,30,Attempted
2001,Kraków,separated,7,Attempted
2001,Radom,single,184,Attempted
2001,Radom,married,176,Attempted
2001,Radom,concubine,7,Attempted
2001,Radom,widower,29,Attempted
2001,Radom,divorced,27,Attempted
2001,Radom,separated,10,Attempted
2001,Opole,single,42,Attempted
2001,Opole,married,85,Attempted
2001,Opole,concubine,2,Attempted
2001,Opole,widower,10,Attempted
2001,Opole,divorced,7,Attempted
2001,Opole,separated,0,Attempted
2001,Rzeszów,single,117,Attempted
2001,Rzeszów,married,146,Attempted
2001,Rzeszów,concubine,6,Attempted
2001,Rzeszów,widower,22,Attempted
2001,Rzeszów,divorced,10,Attempted
2001,Rzeszów,separated,4,Attempted
2001,Białystok,single,84,Attempted
