year,garnizon,method,suicides,outcome
2013,Bydgoszcz,gas,0,Attempted
2013,Bydgoszcz,poison,2,Attempted
2013,Bydgoszcz,damaging circulatory system,0,Attempted
2013,Bydgoszcz,self harm,2,Attempted
2013,Bydgoszcz,throwing from height,16,Attempted
2013,Bydgoszcz,drowning,3,Attempted
2013,Bydgoszcz,hanging,240,Attempted
2013,Bydgoszcz,throwing to moving vehicle,3,Attempted
2013,Bydgoszcz,shooting,1,Attempted
2013,Bydgoszcz,pills,7,Attempted
2013,Białystok,gas,1,Attempted
2013,Białystok,poison,1,Attempted
2013,Białystok,damaging circulatory system,7,Attempted
2013,Białystok,self harm,17,Attempted
2013,Białystok,throwing from height,27,Attempted
2013,Białystok,drowning,6,Attempted
2013,Białystok,hanging,190,Attempted
2013,Białystok,throwing to moving vehicle,0,Attempted
2013,Białystok,shooting,5,Attempted
2013,Białystok,pills,11,Attempted
2013,Gdańsk,gas,3,Attempted
2013,Gdańsk,poison,1,Attempted
2013,Gdańsk,damaging circulatory system,3,Attempted
2013,Gdańsk,self harm,11,Attempted
2013,Gdańsk,throwing from height,25,Attempted
2013,Gdańsk,drowning,4,Attempted
2013,Gdańsk,hanging,323,Attempted
2013,Gdańsk,throwing to moving vehicle,8,Attempted
2013,Gdańsk,shooting,0,Attempted
2013,Gdańsk,pills,7,Attempted
2013,Gorzów Wlkp.,gas,3,Attempted
2013,Gorzów Wlkp.,poison,0,Attempted
2013,Gorzów Wlkp.,damaging circulatory system,10,Attempted
2013,Gorzów Wlkp.,self harm,11,Attempted
2013,Gorzów Wlkp.,throwing from height,16,Attempted
2013,Gorzów Wlkp.,drowning,4,Attempted
2013,Gorzów Wlkp.,hanging,186,Attempted
2013,Gorzów Wlkp.,throwing to moving vehicle,1,Attempted
2013,Gorzów Wlkp.,shooting,4,Attempted
2013,Gorzów Wlkp.,pills,10,Attempted
2013,Katowice,gas,12,Attempted
2013,Katowice,poison,4,Attempted
2013,Katowice,damaging circulatory system,46,Attempted
2013,Katowice,self harm,69,Attempted
2013,Katowice,throwing from height,113,Attempted
2013,Katowice,drowning,6,Attempted
2013,Katowice,hanging,718,Attempted
2013,Katowice,throwing to moving vehicle,32,Attempted
2013,Katowice,shooting,7,Attempted
2013,Katowice,pills,56,Attempted
2013,Kielce,gas,4,Attempted
2013,Kielce,poison,12,Attempted
2013,Kielce,damaging circulatory system,33,Attempted
2013,Kielce,self harm,76,Attempted
2013,Kielce,throwing from height,46,Attempted
2013,Kielce,drowning,13,Attempted
2013,Kielce,hanging,375,Attempted
2013,Kielce,throwing to moving vehicle,20,Attempted
2013,Kielce,shooting,3,Attempted
2013,Kielce,pills,50,Attempted
2013,Kraków,gas,2,Attempted
2013,Kraków,poison,4,Attempted
2013,Kraków,damaging circulatory system,19,Attempted
2013,Kraków,self harm,50,Attempted
2013,Kraków,throwing from height,68,Attempted
2013,Kraków,drowning,18,Attempted
2013,Kraków,hanging,447,Attempted
2013,Kraków,throwing to moving vehicle,11,Attempted
2013,Kraków,shooting,7,Attempted
2013,Kraków,pills,62,Attempted
2013,Łódź,gas,8,Attempted
2013,Łódź,poison,0,Attempted
2013,Łódź,damaging circulatory system,16,Attempted
2013,Łódź,self harm,43,Attempted
2013,Łódź,throwing from height,66,Attempted
2013,Łódź,drowning,6,Attempted
2013,Łódź,hanging,490,Attempted
2013,Łódź,throwing to moving vehicle,12,Attempted
2013,Łódź,shooting,3,Attempted
2013,Łódź,pills,27,Attempted
2013,Lublin,gas,4,Attempted
2013,Lublin,poison,3,Attempted
2013,Lublin,damaging circulatory system,5,Attempted
2013,Lublin,self harm,8,Attempted
2013,Lublin,throwing from height,36,Attempted
2013,Lublin,drowning,8,Attempted
2013,Lublin,hanging,369,Attempted
2013,Lublin,throwing to moving vehicle,7,Attempted
2013,Lublin,shooting,4,Attempted
2013,Lublin,pills,8,Attempted
2013,Olsztyn,gas,1,Attempted
2013,Olsztyn,poison,2,Attempted
2013,Olsztyn,damaging circulatory system,18,Attempted
2013,Olsztyn,self harm,32,Attempted
2013,Olsztyn,throwing from height,22,Attempted
2013,Olsztyn,drowning,8,Attempted
2013,Olsztyn,hanging,315,Attempted
2013,Olsztyn,throwing to moving vehicle,4,Attempted
2013,Olsztyn,shooting,3,Attempted
2013,Olsztyn,pills,21,Attempted
2013,Opole,gas,0,Attempted
2013,Opole,poison,0,Attempted
2013,Opole,damaging circulatory system,5,Attempted
2013,Opole,self harm,13,Attempted
2013,Opole,throwing from height,21,Attempted
2013,Opole,drowning,4,Attempted
2013,Opole,hanging,139,Attempted
2013,Opole,throwing to moving vehicle,5,Attempted
2013,Opole,shooting,4,Attempted
2013,Opole,pills,13,Attempted
2013,Poznań,gas,2,Attempted
2013,Poznań,poison,3,Attempted
2013,Poznań,damaging circulatory system,13,Attempted
2013,Poznań,self harm,15,Attempted
2013,Poznań,throwing from height,25,Attempted
2013,Poznań,drowning,7,Attempted
2013,Poznań,hanging,375,Attempted
2013,Poznań,throwing to moving vehicle,24,Attempted
2013,Poznań,shooting,8,Attempted
2013,Poznań,pills,6,Attempted
2013,Rzeszów,gas,0,Attempted
2013,Rzeszów,poison,2,Attempted
